graph name;iterations;time[ms];crossing_res;n;m;ang.res;aspect. Ratio;#crossing;
graph_2295.txt;0;0;12.0261;96;144;0.11212467000311924;4.433068318633099;72;
graph_2295.txt;100;201;23.1406;96;144;4.7138950008674;2.5722800546602906;72;
graph_2295.txt;200;393;48.172;96;144;11.102608775078934;2.4399328594452547;73;
graph_2295.txt;300;586;48.3045;96;144;16.22441209374605;2.661236560401419;74;
graph_2295.txt;400;770;48.4091;96;144;17.118696455075714;2.765956770097652;74;
graph_2295.txt;500;959;48.4091;96;144;17.118696455075714;2.83180479961625;72;
graph_2295.txt;600;1147;48.4091;96;144;17.118696455075714;2.8652319738695695;74;
graph_2295.txt;100000;9223372036854775807;48.4091;96;144;17.118696455075714;2.8652319738695695;74;
graph_2451.txt;0;0;20.3967;92;138;0.7034598973624006;5.357524771044456;68;
graph_2451.txt;100;185;29.8149;92;138;3.7436982350078263;2.4899248620321397;70;
graph_2451.txt;200;356;29.8149;92;138;3.7436982350078263;2.554069628355023;67;
graph_2451.txt;300;520;29.8149;92;138;6.193497543447226;2.4772187649193746;62;
graph_2451.txt;100000;9223372036854775807;29.8149;92;138;6.193497543447226;2.4772187649193746;62;
graph_927.txt;0;0;10.695;84;126;11.04094018032372;3.348444495121989;63;
graph_927.txt;100;154;29.2609;84;126;22.605887365019218;2.283903387715734;70;
graph_927.txt;200;315;35.3439;84;126;22.71048852529188;2.1859420672893397;69;
graph_927.txt;300;462;35.7277;84;126;22.71048852529188;2.2915295139405614;70;
graph_927.txt;400;621;37.2797;84;126;22.71048852529188;2.349548546041101;64;
graph_927.txt;500;778;37.2797;84;126;22.71048852529188;2.3705506322030168;64;
graph_927.txt;600;927;37.2797;84;126;22.71048852529188;2.4323377197843112;64;
graph_927.txt;100000;9223372036854775807;37.2797;84;126;22.71048852529188;2.4323377197843112;64;
