graph name;iterations;time[ms];crossing_res;n;m;ang,res;aspect, Ratio;#crossing;
graph_0.txt;100;150;70,7367;32;48;27,131797694931148;1,8654591074538711;8;
graph_1.txt;100;31;73,9619;20;30;35,06839097107678;2,4957995397638064;4;
graph_10.txt;200;147;57,4142;30;45;27,53861436831894;2,0234497992804044;18;
graph_100.txt;8600;3839;59,0119;32;48;21,822862539192958;2,270888604006506;11;
graph_1000.txt;0;0;57,4065;30;45;22,530979230465437;3,803837283874244;5;
graph_1001.txt;200;88;71,831;38;57;31,394539769097207;2,043042621669957;12;
graph_1003.txt;200;87;62,3761;34;51;18,995305753483063;2,179399493597123;14;
graph_1004.txt;100;39;65,1182;34;51;25,423302691306628;1,883617428947483;13;
graph_1005.txt;200;80;62,7157;32;48;34,8420289627285;2,0285718082722375;9;
graph_1006.txt;200;89;63,5144;34;51;28,58722883044137;2,080846368457011;12;
graph_1007.txt;100;45;57,1711;38;57;22,634774178043966;2,3868420438066247;21;
graph_1008.txt;500;165;63,7239;32;48;33,47100769056673;1,7963373197679877;11;
graph_1010.txt;100;41;51,935;36;54;13,657642505812165;2,2024951925386356;22;
graph_1011.txt;100;28;35,4182;28;42;5,919448930060158;2,1627371834217834;12;
graph_1012.txt;400;148;58,2533;34;51;27,64905959081944;1,7478352528221777;13;
graph_1013.txt;300;102;56,4134;32;48;15,367809559300584;1,6445312256191915;20;
graph_1014.txt;300;81;63,9369;26;39;14,060475913797868;1,8649862155912416;13;
graph_1015.txt;100;32;56,4891;30;45;13,357702132939327;1,9643073343849675;12;
graph_1017.txt;100;38;59,3255;34;51;5,988818948900445;2,066348344428954;15;
graph_1019.txt;100;52;55,0219;38;57;20,218203925042037;1,8074962111003525;21;
graph_102.txt;100;40;54,8183;34;51;21,96993069757329;2,60284347430742;19;
graph_1020.txt;200;72;76,1842;32;48;24,43241845052686;2,129625939944709;7;
graph_1021.txt;200;62;58,1044;30;45;25,18977987824544;1,818353175686728;9;
graph_1022.txt;100;31;74,2785;26;39;38,9526708682338;1,7304751408716121;14;
graph_1023.txt;400;139;64,7845;32;48;12,17351675817754;2,064671860381096;17;
graph_1024.txt;200;89;56,9697;36;54;22,115385935454132;1,944521166010379;24;
graph_1025.txt;100;45;53,7388;38;57;17,576585368397925;2,132555559447029;20;
graph_1026.txt;400;122;70,655;30;45;30,273154110457334;1,7975858338426915;13;
graph_1027.txt;100;40;51,5796;34;51;14,620204592271985;1,822250634625047;23;
graph_1029.txt;100;39;67,7968;34;51;22,986879442750382;2,1768236990141556;16;
graph_103.txt;100;31;65,9684;30;45;27,98250171840906;1,9797209583498354;13;
graph_1030.txt;100;44;50,7932;36;54;20,083937634338092;1,9666995979983826;21;
graph_1031.txt;200;80;62,7191;34;51;7,228485130241843;2,327498915413585;12;
graph_1032.txt;100;37;57,3625;34;51;20,504221829488355;2,250643075914325;19;
graph_1033.txt;300;88;70,3044;28;42;30,750439341803965;1,9178074062956378;5;
graph_1034.txt;100;50;54,6458;34;51;9,012108248217208;2,173973617767423;20;
graph_1035.txt;1000;392;74,0145;34;51;36,76551222282953;2,4412112478357657;10;
graph_1036.txt;2400;1161;63,3818;38;57;25,221399322659934;2,4688883708935196;26;
graph_1037.txt;200;92;61,2843;38;57;25,714891872130803;1,6274656054426933;21;
