graph name;iterations;time[ms];crossing_res;n;m;ang.res;aspect. Ratio;#crossing;
graph_1028.txt;800;388;53.1758;40;60;23.35538361685821;2.0573902195843323;25;
graph_1065.txt;200;98;54.3563;40;60;15.241645819922732;2.1197000648429056;13;
graph_1093.txt;100;67;48.7151;40;60;21.7401749411289;2.164804390565189;25;
graph_1108.txt;200;114;57.4811;40;60;23.347283586768636;2.195445180537596;20;
graph_1117.txt;300;195;55.5863;44;66;15.921633771387524;2.6645707444292768;25;
graph_112.txt;200;90;61.9113;40;60;10.846729732649365;2.1964406303274733;17;
graph_1157.txt;100;100;21.4194;58;87;11.336249615687294;2.850756285652673;116;
graph_1223.txt;100;92;20.9644;58;87;6.378548139678593;2.316562906232357;104;
graph_130.txt;100;73;46.5886;50;75;26.141940351306975;1.8361778504788902;30;
graph_1326.txt;100;90;18.8298;58;87;8.845247092843893;2.782727767088659;100;
graph_1363.txt;200;98;71.4125;40;60;32.47771992530166;2.2348206213711426;9;
graph_1379.txt;100;48;41.9897;40;60;18.946668112713496;1.961968516099002;28;
graph_1416.txt;200;122;47.7768;40;60;19.697591722561125;2.265119601390789;28;
graph_1475.txt;300;166;43.2272;40;60;21.18930351594181;2.768447853858151;27;
graph_152.txt;1500;795;54.2118;40;60;27.61416893973305;2.157812076596062;24;
graph_1676.txt;300;157;67.8205;40;60;32.46875250426996;2.034994449104403;13;
graph_1816.txt;600;565;29.6526;58;87;6.2592480361347045;2.752341807442767;95;
graph_1820.txt;300;208;51.0373;50;75;19.768169679942115;1.8348101617510941;22;
graph_1831.txt;200;132;57.004;50;75;29.57917309119623;2.5420562315861863;29;
graph_186.txt;200;190;16.4386;58;87;12.467677237555188;3.60172106402488;116;
graph_1869.txt;100;55;31.5282;40;60;28.98619504776495;1.7086900060098773;24;
graph_1881.txt;300;149;69.0392;40;60;25.834407953103486;1.8242488349348733;22;
graph_1892.txt;100;55;44.4319;40;60;24.629822779540763;2.334637756575803;24;
graph_197.txt;600;542;19.7149;58;87;15.501916895893995;3.2934975308883825;105;
graph_2018.txt;400;394;33.0239;58;87;11.747234039145905;2.851197503084418;82;
graph_2073.txt;300;215;57.8916;54;81;20.744697115214585;2.4178209714663303;30;
graph_2181.txt;100;82;59.172;56;84;14.884652843610764;2.2340833225859664;47;
graph_2182.txt;300;255;28.1419;54;81;25.625400096954838;1.932084230357004;90;
graph_222.txt;100;53;61.5576;40;60;28.76124758620284;2.35344094500022;14;
graph_2467.txt;100;46;61.592;40;60;24.613121600104417;2.3150904705024535;14;
graph_2510.txt;300;152;39.7963;40;60;15.086384122287056;2.1333023382329497;27;
graph_2567.txt;600;296;70.7181;40;60;34.65012357735985;2.4113496212571417;18;
graph_2586.txt;100;96;22.487;58;87;12.487138961544826;3.500486038921313;128;
graph_2594.txt;300;155;59.7655;40;60;27.11014768180455;2.2566163104621135;17;
graph_2613.txt;300;150;60.1938;40;60;21.733906720519027;2.075116209446762;23;
graph_2704.txt;300;147;48.2672;40;60;19.54373751024076;2.2434203927458536;31;
graph_2705.txt;200;95;44.2503;40;60;28.05309421717543;2.358539616955176;27;
graph_2707.txt;300;172;57.7971;40;60;15.078004275812363;2.1486068304979993;45;
graph_2716.txt;100;95;17.7389;58;87;12.906222296372832;2.757440580392019;121;
graph_2801.txt;300;276;21.7444;58;87;17.724293368529644;2.877250914177029;112;
graph_2960.txt;100;49;52.2448;40;60;17.59546039196045;1.9167394646799603;25;
graph_307.txt;100;96;20.0533;58;87;10.284404509937332;2.1676070657611564;99;
graph_340.txt;300;158;49.2673;40;60;7.56324202065416;1.868740962390663;20;
graph_374.txt;100;51;47.7719;40;60;15.448895022082947;2.0781452712080055;32;
graph_42.txt;300;281;29.3346;58;87;20.985654891614562;3.1319053373525363;102;
graph_448.txt;500;464;28.5169;58;87;12.753530475626714;2.856241367407234;87;
graph_467.txt;200;103;59.904;40;60;23.25229344809696;2.043216872374263;20;
graph_481.txt;400;186;67.9733;40;60;31.987383255752675;2.4452938948139233;10;
graph_506.txt;300;157;31.236;40;60;10.235793929829011;1.990621036394377;24;
graph_516.txt;100;48;40.3304;40;60;8.317898958439148;2.0841659986456222;24;
graph_549.txt;300;137;69.3226;40;60;32.164422780773585;2.080337938955076;12;
graph_552.txt;300;151;50.5201;40;60;16.388955303834702;2.1491797418467757;24;
graph_567.txt;400;195;47.427;40;60;10.023181652905532;1.859861786311913;21;
graph_569.txt;300;279;26.3309;58;87;10.939455723423928;2.584526756615339;105;
graph_597.txt;100;55;48.0378;40;60;27.91175334958203;1.967998079360068;20;
graph_613.txt;700;356;57.575;40;60;22.803201260726272;2.010864289903673;22;
graph_648.txt;0;0;23.1986;58;87;0.22769156679778924;3.5308940956582227;102;
graph_686.txt;200;190;18.0189;58;87;20.035044463898956;3.4275940648005108;95;
graph_714.txt;100;99;29.5978;58;87;7.7700699105904585;2.2972891418836303;90;
graph_772.txt;700;343;56.7973;40;60;32.56501503071716;2.11691688927927;13;
graph_787.txt;100;96;25.8798;58;87;10.888541086545192;2.5201766290554457;105;
graph_807.txt;100;58;51.9095;40;60;16.306918863407695;2.0056107379381136;23;
