graph name;iterations;time[ms];crossing_res;n;m;ang.res;aspect. Ratio;#crossing;
graph_1016.txt;700;87;89.9011;18;27;18.812406636558357;12.828424054314057;5;
graph_1018.txt;300;36;89.9602;16;24;8.756795085916846;24.960904095475964;3;
graph_1096.txt;1800;204;88.7561;18;27;21.370622269343166;6.051694121488799;12;
graph_1111.txt;1100;104;89.5518;18;27;25.88808031135236;41.895010291665024;4;
graph_114.txt;200;26;87.4434;18;27;32.92192291655252;4.701615578344176;8;
graph_1270.txt;600;48;89.9743;12;18;30.13747857768569;3.338921386501966;3;
graph_1419.txt;400;38;89.9552;14;21;16.5279495975953;4.401903543382008;3;
graph_1485.txt;200;13;89.9785;8;12;5.335469589168481;2.1014915382405164;1;
graph_1575.txt;600;79;88.8031;18;27;28.54230770736229;6.6857507903576145;7;
graph_1658.txt;600;50;89.6034;14;21;17.866431631988632;13.75960658732166;5;
graph_1668.txt;600;66;89.8359;18;27;18.215355725610014;8.014929327850858;4;
graph_1755.txt;200;22;89.5853;16;24;25.346175941946694;9.624278537608868;5;
graph_1756.txt;700;68;89.7038;18;27;12.270219370044638;4.798951039910983;5;
graph_1761.txt;400;43;89.7396;18;27;20.689225773796487;4.297764139791892;5;
graph_1762.txt;700;67;89.8694;18;27;3.668488107819368;6.826664418497229;5;
graph_180.txt;800;60;89.7641;12;18;40.0398933777107;4.399291441845875;6;
graph_1844.txt;500;57;89.9165;18;27;5.806726905531591;4.34176104222232;5;
graph_1864.txt;100;9;89.2805;14;21;29.291362170984268;2.17997344703698;4;
graph_1888.txt;300;22;89.8743;10;15;32.92963299150667;5.927977695718571;3;
graph_1931.txt;600;62;89.9534;18;27;25.757257732056118;8.602920238098802;4;
graph_1945.txt;400;38;89.905;14;21;24.096633923206955;3.4097726523609593;3;
graph_1990.txt;600;53;89.5145;14;21;21.5729556831999;10.91252880800326;6;
graph_1993.txt;800;72;89.6739;12;18;40.81852878706558;6.2628962115196;3;
graph_2095.txt;1200;142;89.9827;16;24;14.697080306373655;10.164000144623033;4;
graph_2098.txt;600;68;89.9126;18;27;23.66087623188879;3.671239654864655;4;
graph_233.txt;800;83;89.697;18;27;18.6741782448756;17.334104331739848;7;
graph_2383.txt;500;42;89.4396;14;21;53.77013480063907;11.150538584774887;5;
graph_2445.txt;400;51;87.8755;18;27;9.568272778777704;10.529763113295003;5;
graph_2571.txt;600;60;89.6397;18;27;20.510859282963146;8.73669735174167;6;
graph_2603.txt;200;22;88.1808;18;27;23.586673988582028;20.268487244563353;4;
graph_269.txt;400;14;89.9952;6;9;12.197866286162103;14.6061763931866;1;
graph_2714.txt;700;51;89.1712;12;18;5.416146393137279;8.527796461873097;4;
graph_2739.txt;500;55;89.4881;18;27;32.936056569109944;6.128767026183087;4;
graph_2743.txt;800;90;88.7774;14;21;19.343299568842987;7.922429903601471;8;
graph_2745.txt;200;21;86.5285;18;27;26.784694381853058;13.240401929785806;10;
graph_2772.txt;400;53;89.9154;18;27;26.23904741486591;19.15298339818932;4;
graph_2776.txt;300;40;89.5912;16;24;22.577026990031506;4.24486212035243;5;
graph_28.txt;600;76;86.8714;16;24;3.215483991748288;2.561441768650466;10;
graph_2814.txt;400;41;89.6897;16;24;18.54795810342265;8.415893043352174;6;
graph_2827.txt;300;25;89.9023;14;21;12.963311473731874;22.22003972678237;3;
graph_2832.txt;400;39;83.17;18;27;22.958055488821437;14.53951268375977;5;
graph_2884.txt;1100;135;85.7652;18;27;6.842831653154131;8.610468488882233;8;
graph_2920.txt;400;29;89.8651;12;18;28.500111696406663;5.607153234990037;4;
graph_313.txt;600;76;89.9303;18;27;0.4843386627514904;11.148928694234245;4;
graph_353.txt;200;20;89.9114;16;24;29.643927761394075;5.858154473329711;3;
graph_409.txt;400;36;89.4034;18;27;16.80413365222258;9.579613128111633;5;
graph_46.txt;800;70;88.7222;16;24;31.264496464055473;4.2491802437325585;5;
graph_499.txt;400;46;89.4861;18;27;25.875845318850853;9.524732585071519;5;
graph_576.txt;500;65;89.4536;18;27;28.747056807366263;11.518738911242082;7;
graph_672.txt;500;54;86.769;18;27;6.59274696515226;3.427775950488886;11;
graph_765.txt;700;50;89.1715;12;18;19.91151240411168;7.129211810712924;6;
graph_822.txt;1400;142;88.1839;18;27;4.750088779462247;28.82904320232316;9;
graph_895.txt;300;24;89.6694;16;24;14.948727080787071;6.815494680030573;2;
graph_900.txt;700;61;89.6578;14;21;34.986626639362214;6.934230047092762;4;
graph_92.txt;500;46;86.8168;14;21;30.36880616646679;13.971056431250197;6;
graph_966.txt;600;70;89.4414;18;27;8.910928856600457;34.088344257289386;6;
graph_996.txt;900;103;89.0071;18;27;7.486009591361037;23.117591701470218;17;
