graph name;iterations;time[ms];crossing_res;n;m;ang.res;aspect. Ratio;#crossing;
graph_1016.txt;100;31;69.3219;18;27;25.339724731634043;1.8569602845301951;8;
graph_1018.txt;0;0;76.2621;16;24;4.094188859431024;2.182994255037281;3;
graph_1096.txt;200;44;36.7604;18;27;19.362921132823747;1.4841753745590232;20;
graph_1111.txt;100;20;46.0148;18;27;9.759890750478215;2.1098271434727573;7;
graph_114.txt;200;36;57.5226;18;27;26.095986488167707;1.9701041713661178;10;
graph_1270.txt;100;10;69.4628;12;18;38.077239798674626;1.5642362592172856;6;
graph_1419.txt;300;35;66.712;14;21;18.7076890325029;1.7007228724466157;6;
graph_1485.txt;300;22;80.5782;8;12;23.43373484321977;1.6056155317493035;3;
graph_1575.txt;800;159;58.1498;18;27;25.523509897302237;1.5716824500967475;11;
graph_1658.txt;300;47;39.1062;14;21;18.227341509712293;1.3520129806196808;11;
graph_1668.txt;300;52;71.0879;18;27;20.87086699237496;1.5100501692339143;7;
graph_1755.txt;400;60;75.2281;16;24;23.2950347179327;1.5269446790945511;5;
graph_1756.txt;100;18;60.0371;18;27;15.216871086677338;2.0383712525347533;9;
graph_1761.txt;100;25;70.6199;18;27;12.684194057272606;1.76089307309552;7;
graph_1762.txt;400;70;67.0855;18;27;19.182119975483335;1.5934167343724088;7;
graph_180.txt;1900;215;33.492;12;18;31.063898795085628;1.6871348084925297;8;
graph_1844.txt;300;52;65.0674;18;27;25.4250312630521;1.747392925760607;7;
graph_1864.txt;0;0;84.915;14;21;30.065072911335534;2.2063436999377934;4;
graph_1888.txt;2400;223;56.3422;10;15;30.956441866019425;1.3179047938301154;7;
graph_1931.txt;400;77;64.5664;18;27;27.109430467586943;1.527720947613652;6;
graph_1945.txt;0;0;67.1508;14;21;24.23815789412968;2.097560464911938;3;
graph_1990.txt;100;17;62.3285;14;21;27.439563854844497;1.6634255110164315;8;
graph_1993.txt;5700;599;59.993;12;18;41.89705320136921;1.2841133524757435;3;
graph_2095.txt;7200;1077;82.6502;16;24;27.095202743942924;1.5207304579504743;4;
graph_2098.txt;100;16;64.0767;18;27;19.714286683539306;1.8995135312890827;5;
graph_233.txt;100;18;63.2006;18;27;15.657389381579861;1.9329476349104722;8;
graph_2383.txt;6800;968;51.4243;14;21;55.30484646876603;1.2622615063981903;7;
graph_2445.txt;600;111;60.8999;18;27;18.746095439849782;1.575126678725811;9;
graph_2571.txt;100;21;74.0339;18;27;23.210444946705508;2.012858551045723;7;
graph_2603.txt;200;34;59.6253;18;27;22.736870097397503;1.8863174511034793;5;
graph_269.txt;0;0;69.3444;6;9;12.317340109872168;1.9387162478442204;1;
graph_2714.txt;0;0;60.1307;12;18;21.982438203118658;1.7573302498354997;4;
graph_2739.txt;800;139;71.037;18;27;34.052770717559355;1.6177375924300244;5;
graph_2743.txt;100;19;50.5591;14;21;20.6469441356593;1.5908792996038732;18;
graph_2745.txt;300;50;67.5527;18;27;23.332277061362273;1.61458023022164;8;
graph_2772.txt;100;18;66.0336;18;27;28.503082528754366;1.6372715778075382;7;
graph_2776.txt;200;29;70.1234;16;24;24.417044719000806;1.7467464856950503;5;
graph_28.txt;100;22;66.244;16;24;14.265042768856192;1.478403960322532;10;
graph_2814.txt;100;17;55.5469;16;24;27.997255712210826;1.8457317989471898;10;
graph_2827.txt;0;0;66.7881;14;21;5.425226368420353;2.0970290565935255;3;
graph_2832.txt;500;87;64.585;18;27;22.40248338974218;1.4849657927325444;6;
graph_2884.txt;400;73;62.9679;18;27;18.89051464888543;1.733096297864621;10;
graph_2920.txt;0;0;74.7449;12;18;0.4634542358831428;1.958479911655066;5;
graph_313.txt;300;57;56.6589;18;27;22.263511038843447;1.876485765178919;12;
graph_353.txt;100;14;83.1168;16;24;37.00649620892197;2.047361025494146;3;
graph_409.txt;300;58;65.7891;18;27;18.95543726975011;1.5506052398539156;7;
graph_46.txt;200;30;62.6064;16;24;30.256437163529263;1.7624941153647904;5;
graph_499.txt;400;67;68.513;18;27;16.649443038267943;1.6866944062420577;7;
graph_576.txt;100;17;51.3002;18;27;30.125970200662692;1.8212854157246448;7;
graph_672.txt;700;152;39.4177;18;27;17.030064662121877;1.3607288032315425;15;
graph_765.txt;300;39;68.9531;12;18;29.414959794319053;1.3046387841146507;7;
graph_822.txt;800;142;65.0255;18;27;28.876182629839395;1.4274969827649941;6;
graph_895.txt;200;29;79.9663;16;24;29.479642931911375;2.5516965325966914;3;
graph_900.txt;100;11;51.6176;14;21;32.393580819916394;1.5297815318017642;7;
graph_92.txt;0;0;45.2265;14;21;32.97404963275652;1.66551684475218;10;
graph_966.txt;100;22;47.2009;18;27;6.313469913403249;2.1114402485984898;7;
graph_996.txt;100;19;50.5447;18;27;12.4153892130302;1.5532792622623384;16;
