Nodes;Mixed Old;Lin Yen ;Eades;Huang et al.;Angular Only Old;Crossing Only Old;Mixed;Angular Only;Crossing Only
11;161.031496062992;210.850393700787;283.828125;234.771653543307;183.889763779528;494.59375;350.714285714286;598.714285714286;2351.42857142857
12;164.496503496503;223.034965034965;376.236111111111;262.447552447552;190.65034965035;534.527777777778;647.5;664;1721.5
13;262.459119496855;547.924528301887;537.459627329193;545.099378881988;322.830188679245;836.813664596273;514.6;580;3051.8
14;204.686390532544;418.041420118343;434.201183431953;367.89349112426;275.85798816568;764.591715976331;598.666666666667;765.666666666667;3515.66666666667
15;439.26404494382;684.269662921348;639.949720670391;643.804469273743;478.432584269663;1186.02793296089;825.5;501.4;1933.4
16;508.849397590361;847.668674698795;705.808383233533;716.102409638554;621.451807228916;1353.65269461078;840.818181818182;801.545454545455;2409.18181818182
17;547.48;880.805369127517;903.506666666667;918.08;630.553333333333;1602.58666666667;1094.77777777778;1211.22222222222;2830.33333333333
18;513.016949152542;988.737288135593;1176.22881355932;986.35593220339;654.152542372881;1458.05084745763;739.846153846154;1013.84615384615;2457.76923076923
19;654.946428571429;1192.25892857143;1107.86607142857;1009.66964285714;776.526785714286;1611.11607142857;916.882352941176;991.705882352941;2831.05882352941
20;661.645161290323;1104.91397849462;1134.86021505376;1152.82795698925;690.817204301075;1861.18279569893;903.333333333333;1294.5;2684.16666666667
21;932.490196078431;1281.76470588235;1328.76470588235;1354.87254901961;901.058823529412;2366.75490196078;1069.69565217391;1048.17391304348;2707.65217391304
22;800.317073170732;1464.56097560976;1207.15662650602;1165.4512195122;855.353658536586;1844.79518072289;961.470588235294;1148.05882352941;2719.64705882353
23;793.133333333333;1281.29333333333;1116.98684210526;1182.22368421053;886.92;1923.25;1087.92857142857;1442.57142857143;2742.57142857143
24;723.452054794521;1138.31506849315;1028.06849315069;1094.65753424658;861.356164383562;2063.58904109589;1577.88888888889;844.444444444444;3951.44444444444
25;668.571428571429;989.166666666667;1055.52325581395;1094.41860465116;838.819277108434;1831.61627906977;1211.54545454545;916.545454545454;2400.45454545455
26;889.219512195122;1252.96341463415;1145.49397590361;1192.71604938272;1012.37804878049;1948.55421686747;987.222222222222;1395.38888888889;2972.22222222222
27;1042.8152173913;1599;1404.94623655914;1209.35483870968;1102.10869565217;2446.05376344086;1158.41176470588;1300.05882352941;3564.29411764706
28;1175.5625;1767.3;1423.69135802469;1402.53086419753;1365.775;2261.93827160494;1177.66666666667;1391.66666666667;2606.28571428571
29;1350.75362318841;1604.71014492754;1539.47826086957;1516.14705882353;1452.02898550725;2342.30434782609;1570.90476190476;1859.04761904762;2524.57142857143
30;1262.61290322581;1883.58064516129;1492.14516129032;1525.20967741935;1538.91935483871;2486.72580645161;1432.26315789474;1603.94736842105;2454.15789473684
31;1569.88235294118;2238.12941176471;2639.08235294118;1862.47058823529;1505.47058823529;2839.83529411765;1184.90476190476;1336.7619047619;2904.52380952381
32;1474.31007751938;1819.1328125;1469.58139534884;1749.48062015504;1704.6976744186;2465.82945736434;1496.90476190476;1932.33333333333;2753.28571428571
