n;crossing resolution fa;crossing resolution rm;crossing resolution tr;crossing resolution rm-1;angular resolution fa;angular resolution rm;angular resolution tr;angular resolution rm-1;Aspect ratio fa;Aspect ratio rm;Aspect ratio tr;Aspect ratio rm-1;Crossing number fa;Crossing number rm;Crossing number tr;Crossing number rm-1;Time fa;Time rm;Time tr;Time rm-1;Iterations rm;Iterations rm-1;Iterations fa;empty;empty2
11;72.0771857142857;89.4815428571429;72.0771857142857;84.0350714285714;23.5170285714286;21.5303;23.5170285714286;22.4563857142857;1.79404336435434;21.0489334581817;1.79404336435434;1.81515814306049;4.85714285714286;3.14285714285714;4.85714285714286;4.28571428571429;146.571428571429;60.4285714285714;146.571428571429;80.5714285714286;671.428571428571;971.428571428572;1800;;
12;73.264175;88.57765;73.264175;85.004875;29.755525;22.914475;29.755525;24.534025;1.74492424999402;9.45706523319733;1.74492424999402;1.7718728947533;5.75;3;5.75;3.5;151.5;58.5;151.5;104.5;600;1500;1650;;
13;77.01264;88.0124;77.01264;85.8827;23.63316;23.74108;23.63316;22.82752;1.57781137718389;9.24065072340505;1.57781137718389;1.68782144372071;3.2;3;3.2;2.8;25.6;87.6;25.6;62.4;860;780;320;;
14;75.5995333333333;89.7813333333333;75.5995333333333;83.9809333333333;25.1440333333333;19.4173;25.1440333333333;19.6855;1.81943378586435;10.8112058617229;1.81943378586435;1.73549606887664;5.33333333333333;3.66666666666667;5.33333333333333;5;393;104;393;78;966.666666666667;1033.33333333333;3466.66666666667;;
15;75.10984;89.04416;75.10984;81.29709;22.52777;17.6003;22.52777;18.79855;1.7066807456709;8.63949029579895;1.7066807456709;2.00478691895634;5;3;5;4.3;248;87.4;248;80.1;860;1020;2430;;
16;71.3981818181818;89.0263636363637;71.3981818181818;80.9269909090909;23.7032545454545;18.1141636363636;23.7032545454545;21.2493636363636;1.79572498907977;13.974603287963;1.79572498907977;1.85446031076904;5.54545454545455;3.45454545454545;5.54545454545455;4.81818181818182;119;97.7272727272727;119;104.636363636364;781.818181818182;1218.18181818182;1190.90909090909;;
17;67.2837777777778;89.4952444444444;67.2837777777778;81.7659333333333;23.1149555555556;18.5924888888889;23.1149555555556;20.1219111111111;1.90817364167163;29.8547708289627;1.90817364167163;1.88194193393552;6.44444444444444;3.66666666666667;6.44444444444444;5;599.333333333333;124.777777777778;599.333333333333;123.555555555556;966.666666666667;1100;4800;;
18;71.9815076923077;88.8451538461539;71.9815076923077;80.3349076923077;23.1633230769231;18.1682153846154;23.1633230769231;22.6943846153846;1.76677712671314;19.1968394504861;1.76677712671314;1.88201333099565;4.69230769230769;3.46153846153846;4.69230769230769;4;380.230769230769;94.8461538461538;380.230769230769;87.0769230769231;769.230769230769;884.615384615385;3084.61538461538;;
19;67.2744411764706;88.1279823529412;67.2744411764706;78.4153058823529;22.2028235294118;18.9830058823529;22.2028235294118;20.4269647058824;1.77434354153964;39.3227404507938;1.77434354153964;1.88080154297374;7.29411764705882;6.17647058823529;7.29411764705882;6.64705882352941;190.882352941176;160.588235294118;190.882352941176;114.294117647059;1211.76470588235;976.470588235294;1252.94117647059;;
20;70.065975;88.64625;70.065975;79.4628833333333;25.2416833333333;18.5148833333333;25.2416833333333;18.3136;1.83799451284368;17.0410163563627;1.83799451284368;1.85201139353497;5.5;4.66666666666667;5.5;4.41666666666667;313.416666666667;145.833333333333;313.416666666667;81.8333333333333;1066.66666666667;800;2133.33333333333;;
