n;crossing resolution fa;crossing resolution rm;crossing resolution tr;crossing resolution rm5;crossing resolution rm-1;Angular resolution fa;Angular resolution rm;Angular resolution tr;Angular resolution rm5;Angular resolution rm-1;Aspect ratio fa;Aspect ratio rm;Aspect ratio tr;Aspect ratio rm5;Aspect ratio rm-1;Crossing number fa;Crossing number rm;Crossing number tr;Crossing number rm5;Crossing number rm-1;Total Resolution fa;Total Resolution rm;Total Resolution tr;Total Resolution rm5;Total Resolution rm-1;Time fa;Time rm;Time tr;Time rm5;Time rm-1;Iterations rm;Iterations rm-1;Iterations fa
11;62.0633714285714;69.5698428571429;61.2435428571429;68.5167285714286;64.5850714285714;21.7996571428571;39.7224714285714;19.4662;180;29.8722285714286;2.17326781588475;5.19122113304736;1.94281594595673;4.36178042170558;1.88537941836037;5.57142857142857;5.28571428571429;4.71428571428571;4.71428571428571;5.71428571428571;19.5158285714286;39.7224714285714;18.8973428571429;37.5805428571429;29.8722285714286;15.5714285714286;301.285714285714;15.5714285714286;198.857142857143;153.428571428571;900;1300;114.285714285714
12;66.4104;71.3856;68.32625;74.668725;71.261375;23.70015;38.68875;28.604075;180;32.5381;2.06159338872609;6.30273025127621;1.89723853444243;3.65859415067725;1.75942988793642;5.75;4.25;5;3.5;5;22.53795;38.68875;26.466825;40.46395;32.5381;46.5;267.25;15.5;423.25;66.5;800;575;350
13;66.58144;69.41792;70.1107;67.98196;74.3376;27.08518;46.80516;25.75354;180;35.78244;1.89958715912194;8.59849528062496;1.70574324137062;4.3271426990017;1.77531569463154;3.6;4;4;4.2;3.4;26.13192;46.80516;24.3895;42.8793;35.78244;28.4;349.8;34.2;221.4;140.8;1180;1100;300
14;70.1252666666667;64.1368666666667;74.1861666666667;64.3383666666667;65.1138;27.729;44.5064333333333;24.4394666666667;180;33.8106333333333;1.99475787641555;23.05793371184;1.89872759327564;4.86630755434299;1.9023163435617;5.33333333333333;6.66666666666667;4.66666666666667;5;6;27.7283;44.3340333333333;24.4350333333333;40.4614;33.8106333333333;257.666666666667;591.666666666667;25.6666666666667;344.666666666667;104;1566.66666666667;900;1466.66666666667
15;66.04504;66.91652;61.11996;62.98883;67.44494;21.88795;37.42507;16.74055;180;33.42754;2.14028645133105;9.61799802155139;2.05392884259245;4.18259210325476;1.9392329162644;5;6.5;5.8;6.3;5.4;19.72696;37.39817;16.73137;33.48971;33.42754;38.1;477.7;80.8;173.7;157.2;1310;1210;240
16;62.1788636363636;66.1180545454545;56.8849545454546;61.4851454545455;63.8164545454545;23.9828272727273;43.4073909090909;18.2073181818182;180;32.6458272727273;2.08517113377827;15.6304291216874;2.11804726375955;4.23931515255358;1.97932356363768;5.18181818181818;7;6.09090909090909;6.63636363636364;5.45454545454545;23.5019181818182;43.4073909090909;17.2352272727273;43.1132454545454;32.6458272727273;301.272727272727;491.909090909091;37.2727272727273;351.454545454545;124.454545454545;1527.27272727273;1000;1972.72727272727
17;63.3344666666667;63.4004444444444;67.1102;62.0955;67.8806111111111;24.1267444444444;41.0871;20.3497222222222;180;32.0917111111111;1.89973742611986;20.0493489451968;1.94720982734262;4.34181146398533;1.80888075116753;6.11111111111111;8.33333333333333;6.66666666666667;7.88888888888889;6;22.5358777777778;41.0803777777778;19.5947333333333;39.4254555555556;32.0917111111111;143;476.444444444445;43.4444444444444;323.666666666667;134.888888888889;1388.88888888889;1088.88888888889;911.111111111111
18;67.5997307692308;65.3727384615385;61.4379461538462;67.3750769230769;68.3842230769231;23.1111;41.4145846153846;20.4308461538462;180;34.7079307692308;1.99577721987729;15.9152143381889;1.96296349355697;4.43914317978871;1.86589927059263;4.61538461538462;6;4.69230769230769;6.53846153846154;4.76923076923077;22.4793692307692;41.4145846153846;20.3482846153846;36.7877923076923;34.6933307692308;72.9230769230769;458.153846153846;115.692307692308;228.615384615385;181;1238.46153846154;1376.92307692308;384.615384615385
19;57.1464823529412;61.2940705882353;55.9656882352941;57.7389647058824;61.7813058823529;23.7982470588235;42.3397117647059;19.7861882352941;180;31.3641411764706;2.07756612281939;19.0584310754086;2.06923366289727;4.22786543625171;1.84243100308044;7.35294117647059;9.17647058823529;7.70588235294118;8.94117647058824;7.11764705882353;22.3378823529412;42.2928764705882;19.0250176470588;35.4881;31.3623470588235;42.2352941176471;544.352941176471;33.3529411764706;210.705882352941;127.352941176471;1541.17647058824;923.529411764706;205.882352941176
20;60.616375;63.1658083333333;66.8255833333333;61.30925;59.607275;27.4520666666667;46.536;23.2892583333333;180;30.3167416666667;2.0874921425732;26.8199435059048;2.0580423005411;4.55417270953396;1.85578161291707;5.66666666666667;6.41666666666667;4.83333333333333;6.5;5.41666666666667;25.857075;46.5014416666667;21.688775;43.2367833333333;29.1243916666667;23.6666666666667;421.75;80.5;120.75;101.416666666667;1266.66666666667;841.666666666667;108.333333333333
21;61.0963173913044;63.6271304347826;61.7550739130435;59.4395347826087;65.3371260869565;24.5834608695652;41.5697956521739;20.1557130434783;180;35.5899782608696;2.05572877666394;13.0642868080261;2.08046239866955;4.53628241201899;1.86607578159458;7.73913043478261;9.47826086956522;8.26086956521739;9.65217391304348;7.43478260869565;23.3752130434783;41.5517695652174;19.0403652173913;35.3221260869565;35.5899782608696;58.9565217391304;627.478260869565;167.95652173913;200.130434782609;192.739130434783;1347.82608695652;921.739130434783;269.565217391304
