n_min;n_max;avg;cr rm;cr rm-1;cr fa;cr tr;ar rm;ar rm-1;ar fa;ar tr;cn rm;cn rm-1;cn fa;cn tr;it rm;it rm-1;it fa;it tr
10;12;11;80.6205285714286;69.8087530612245;62.1870755102041;56.2759183673469;20.1005124762109;2.34729968137841;2.30024901853972;2.56485776224375;11.7551020408163;14.734693877551;15.3877551020408;15.9183673469388;842.857142857143;957.142857142857;1553.0612244898;322.673469387755
13;15;14;74.6311;67.33536;55.55716;49.5451428571429;23.4070618414674;2.84194858283908;2.61742814442793;2.93586955795436;29.1714285714286;27.8285714285714;29.2;33;988.571428571429;1060;1871.42857142857;252.857142857143
16;18;17;81.33587;69.02271;61.307195;53.463;17.5069250290592;2.26767376682602;2.27941764283201;2.65949044138444;39.35;32.95;35.7;34.3;1190;920;925;296.25
19;21;20;71.223664;68.61718;55.733632;47.0512;18.281683524279;2.65383535990344;2.9399478052896;8.82195176315556;67;66.28;62.16;80.12;1024;1100;972;216.92
22;24;23;70.3064;64.6721833333334;49.9070666666667;44.3693333333333;23.5650215950716;2.58950992131864;2.56403914599335;3.32770530683366;36.9333333333333;38.2;46.3333333333333;45.2666666666667;880;1103.33333333333;666.666666666667;280.466666666667
25;27;26;71.0138;61.4592705882353;49.9459529411765;45.3870588235294;19.066165279474;2.66138139497755;88.3146320301137;57.0495786253334;145.823529411765;145.529411764706;161.529411764706;167.411764705882;900;1270.58823529412;676.470588235294;68.5294117647059
28;30;29;65.7215071428571;60.6247928571429;48.4257642857143;36.1571428571429;17.2552139682362;3.08437566500051;2046.94754422473;72.0203915496888;231.5;222.285714285714;205.428571428571;221.785714285714;1000;1100;628.571428571429;231.5
31;33;32;62.5760944444444;55.3191666666667;44.6394111111111;35.4972222222222;51.133119574414;3.2685639546195;25.0641692967961;332.964709110771;237.277777777778;205.611111111111;220.444444444444;237.722222222222;1055.55555555556;911.111111111111;977.777777777778;77.7222222222222
34;36;35;61.7537588235294;57.9164470588235;46.3432;37.9417647058824;31.6797484408287;3.05797252623669;22.0436888249449;11.6114909653232;126.294117647059;120.705882352941;129.117647058824;149.647058823529;1052.94117647059;847.058823529412;1441.17647058824;126.411764705882
37;39;38;62.3114529411765;53.9591941176471;45.7034823529412;36.6805882352941;25.2894411331336;3.21428820156601;604.506987178985;322.545547531625;192.235294117647;190.176470588235;260.941176470588;232.176470588235;847.058823529412;852.941176470588;564.705882352941;109.176470588235
40;42;41;58.5567952380952;54.5904714285714;39.955719047619;40.1061904761905;28.5344415125799;3.45502639791529;8.07398318641429;5.28285008259502;129.095238095238;116.952380952381;129.714285714286;122.571428571429;1147.61904761905;1152.38095238095;1161.90476190476;261.857142857143
43;45;44;64.4694545454546;60.5947909090909;47.6028727272727;40.0427272727273;27.8393536301954;3.00513745892961;169.314761706123;48.4864869765158;192.909090909091;174.363636363636;230.454545454545;238.909090909091;627.272727272727;800;690.909090909091;178.636363636364
46;48;47;75.2364529411765;69.2650176470588;56.1902470588235;46.4941176470588;59.929585555968;2.64522928855999;2.42268554210679;2.87449201995502;63.0588235294118;52.2352941176471;56;54.2941176470588;1176.47058823529;1123.52941176471;1147.05882352941;178.647058823529
49;51;50;69.8526;59.0893875;46.455825;34.235;23.3650966849438;3.72462364579417;3.62542556088105;3.37680579311462;58.375;67.75;65.375;66.375;950;1050;737.5;55.125
52;54;53;44.0152;38.28432;30.93166;28.23;71.3025351067388;3.07440920777698;3.34722419723227;143.466590854814;388.8;403.6;385.4;522;820;1260;280;199
55;57;56;38.7724037037037;39.8400777777778;26.9159333333333;23.707037037037;41.5873899745576;4.67415970836851;78.6498570072249;326.749677575089;309.62962962963;267.222222222222;283.259259259259;379.333333333333;848.148148148148;970.37037037037;537.037037037037;162.185185185185
58;60;59;41.4670285714286;39.5708142857143;26.2341428571429;22.02;30.8890770838134;4.02468625469832;4.01818891170119;4.56445560123879;201.5;148.571428571429;150.5;157;1071.42857142857;964.285714285714;571.428571428571;170.5
61;63;62;43.0501818181818;41.7536772727273;27.5350090909091;27.3290909090909;55.7336128899364;3.87306087207956;3.62733396929441;4.5322804057542;199.545454545455;149.772727272727;152.136363636364;167.272727272727;850;972.727272727273;413.636363636364;66.9090909090909
64;66;65;31.5119444444444;28.9911111111111;23.1592666666667;23.31;22.047611144085;4.58681249595898;5.2143580301106;16.0367817131439;377.555555555556;314.333333333333;304.444444444444;341.222222222222;522.222222222222;511.111111111111;355.555555555556;117.333333333333
67;69;68;58.0099;48.298;39.3546;21.76;28.4073006826648;3.80878446988802;4.01859831571988;3.49225534962844;49;63;59;47;600;400;700;11
70;72;71;56.7709;57.7947;37.0455;25.62;18.682036991097;5.10101470398464;3.62679587838072;5.02985074626866;86;53;79;85;1100;800;200;546
73;75;74;73.2834285714286;67.5472285714286;59.4138428571429;44.0714285714286;48.2553062368647;3.69605981206346;3.43157019314061;3.32243049569112;45.7142857142857;40;47.1428571428571;40.4285714285714;1271.42857142857;957.142857142857;1528.57142857143;62.2857142857143
76;78;77;42.3288;48.0748;46.59195;32.315;22.979490527713;2.38141464772929;2.34310963700818;2.69954650289296;64;46;56.5;57.5;300;500;450;10.5
79;81;80;68.9003428571429;62.8386714285714;54.0692;40.1885714285714;25.558212273734;3.62782621691806;3.17607850883663;4.06335797053216;102.142857142857;76.5714285714286;89.1428571428571;90.4285714285714;1485.71428571429;771.428571428571;2442.85714285714;87.4285714285714
82;84;83;29.0314;28.3648333333333;20.6959;25.2066666666667;37.0322225718279;5.87130766518701;4.61463588626432;7.10194268811502;272.333333333333;203.333333333333;189.666666666667;178.666666666667;566.666666666667;300;200;416.333333333333
85;87;86;39.4752181818182;41.5204090909091;35.5783181818182;32.4563636363636;23.20488312428;5.89950639813403;6.21759622387571;6.11392297367213;302.818181818182;270.909090909091;243.909090909091;228.636363636364;672.727272727273;954.545454545455;736.363636363636;198.818181818182
88;90;89;55.1292;53.0401;42.4635;26.69;30.0035328512522;4.20767879845516;2.80232461744913;4.11760834356165;117;67;72.5;74;1650;700;400;483
91;93;92;16.17315;27.17315;23.70635;15.615;52.8239187974994;4.88475267521384;6.55481723044897;12.6664760446703;507;427;440;507;100;600;550;29.5
94;96;95;51.7861;42.15832;41.33894;30.894;53.0157162357545;4.28178187008491;3.81637736913878;4.46889316827743;236;145.6;142.6;165.2;840;540;1700;236.6
97;99;98;62.30365;49.89145;35.810325;33.1425;53.3794505630023;3.53085332811613;3.11997404486923;3.8008650146063;143;104;99.75;108;1775;1125;300;212.25
98;100;99;49.60876;42.81106;29.90594;28.46;55.7458960992321;5.19805758413355;5.59934312346245;5.26026232353301;304.8;209;198;208.4;1480;1320;520;240
