n;crossing resolution fa;crossing resolution rm;crossing resolution tr;crossing resolution rm5;crossing resolution rm-1;Angular resolution fa;Angular resolution rm;Angular resolution tr;Angular resolution rm5;Angular resolution rm-1;Aspect ratio fa;Aspect ratio rm;Aspect ratio tr;Aspect ratio rm5;Aspect ratio rm-1;Crossing number fa;Crossing number rm;Crossing number tr;Crossing number rm5;Crossing number rm-1;Total Resolution fa;Total Resolution rm;Total Resolution tr;Total Resolution rm5;Total Resolution rm-1;Time fa;Time rm;Time tr;Time rm5;Time rm-1;Iterations rm;Iterations rm-1;Iterations fa
11;68.7208285714286;69.5698428571429;61.2435428571429;68.5167285714286;61.9400428571429;23.2713714285714;39.7224714285714;19.4662;180;27.8554571428571;1.94215172500228;5.19122113304736;1.94281594595673;4.36178042170558;1.90174611778091;4.85714285714286;5.28571428571429;4.71428571428571;4.71428571428571;5;21.0171142857143;39.7224714285714;18.8973428571429;37.5805428571429;27.8554571428571;14.8571428571429;301.285714285714;15.5714285714286;198.857142857143;144.857142857143;900;842.857142857143;100
12;72.402625;71.3856;68.32625;74.668725;70.6447;27.94425;38.68875;28.604075;180;33.40715;1.90330514939792;6.30273025127621;1.89723853444243;3.65859415067725;1.85301213276415;5;4.25;5;3.5;5;27.1958;38.68875;26.466825;40.46395;33.40715;160.5;267.25;15.5;423.25;116;800;750;900
13;80.099;69.41792;70.1107;67.98196;73.85438;29.41354;46.80516;25.75354;180;37.2789;1.84260635940658;8.59849528062496;1.70574324137062;4.3271426990017;1.72912390606878;3.2;4;4;4.2;3.4;28.61038;46.80516;24.3895;42.8793;37.2789;264;349.8;34.2;221.4;154.8;1180;1140;1620
14;67.6747333333333;64.1368666666667;74.1861666666667;64.3383666666667;67.398;31.2251666666667;44.5064333333333;24.4394666666667;180;34.5961333333333;2.00868742755439;23.05793371184;1.89872759327564;4.86630755434299;1.84382643339091;5.33333333333333;6.66666666666667;4.66666666666667;5;6.33333333333333;30.8526;44.3340333333333;24.4350333333333;40.4614;34.5961333333333;59.6666666666667;591.666666666667;25.6666666666667;344.666666666667;134;1566.66666666667;666.666666666667;366.666666666667
15;63.17912;66.91652;61.11996;62.98883;63.60701;21.7479;37.42507;16.74055;180;30.4407;2.0604136614855;9.61799802155139;2.05392884259245;4.18259210325476;1.8537261151291;5.2;6.5;5.8;6.3;5;21.21811;37.39817;16.73137;33.48971;30.4407;203;477.7;80.8;173.7;116;1310;800;1290
16;67.7807363636364;66.1180545454545;56.8849545454546;61.4851454545455;66.3346090909091;24.5138;43.4073909090909;18.2073181818182;180;32.0022;2.07434940846824;15.6304291216874;2.11804726375955;4.23931515255358;1.98161426824343;4.63636363636364;7;6.09090909090909;6.63636363636364;5;24.2153272727273;43.4073909090909;17.2352272727273;43.1132454545454;32.0022;259.181818181818;491.909090909091;37.2727272727273;351.454545454545;118.636363636364;1527.27272727273;745.454545454546;1545.45454545455
17;66.2321222222222;63.4004444444444;67.1102;62.0955;66.6695666666667;21.8453777777778;41.0871;20.3497222222222;180;32.6379888888889;1.93427211891271;20.0493489451968;1.94720982734262;4.34181146398533;1.82226290876284;5.88888888888889;8.33333333333333;6.66666666666667;7.88888888888889;6.22222222222222;20.4795888888889;41.0803777777778;19.5947333333333;39.4254555555556;32.6379888888889;181.444444444444;476.444444444445;43.4444444444444;323.666666666667;149;1388.88888888889;1022.22222222222;933.333333333333
18;65.6683153846154;65.3727384615385;61.4379461538462;67.3750769230769;69.9109692307692;25.7419;41.4145846153846;20.4308461538462;180;33.9156230769231;1.99940275654636;15.9152143381889;1.96296349355697;4.43914317978871;1.85738881100833;4.69230769230769;6;4.69230769230769;6.53846153846154;4.38461538461539;24.5221615384615;41.4145846153846;20.3482846153846;36.7877923076923;33.9156230769231;81.3076923076923;458.153846153846;115.692307692308;228.615384615385;164.538461538462;1238.46153846154;1007.69230769231;353.846153846154
19;65.9524235294118;61.2940705882353;55.9656882352941;57.7389647058824;60.9000117647059;24.5915470588235;42.3397117647059;19.7861882352941;180;28.7675647058824;2.07441771597559;19.0584310754086;2.06923366289727;4.22786543625171;1.948971962996;7.17647058823529;9.17647058823529;7.70588235294118;8.94117647058824;7.23529411764706;23.9618529411765;42.2928764705882;19.0250176470588;35.4881;28.7395823529412;171;544.352941176471;33.3529411764706;210.705882352941;157.352941176471;1541.17647058824;841.176470588235;617.647058823529
20;63.0816833333333;63.1658083333333;66.8255833333333;61.30925;65.6019;27.1810916666667;46.536;23.2892583333333;180;34.6748416666667;2.13768680584932;26.8199435059048;2.0580423005411;4.55417270953396;1.82099581037984;5.33333333333333;6.41666666666667;4.83333333333333;6.5;5.83333333333333;26.6972666666667;46.5014416666667;21.688775;43.2367833333333;34.6748416666667;45.75;421.75;80.5;120.75;238;1266.66666666667;1458.33333333333;183.333333333333
