Graph;Nodes;Edges;Max Degree;Crossing Only Angular Res;Crossing Only Crossing Res;Crossing Only Iterations;Crossing Only Edge Length;Crossing Only No of Crossings;Crossing Only Time;Crossing Only Non Planar Crossing;Aspect Ratio;Non-Planar;Valid
grafo10158.91.gml;91;121;9;0.05;62.87;647;200.12;47;2968;62.87;3.08901341172148;1;1
grafo10239.91.gml;91;123;7;0.06;41.42;886;192.77;94;3990;41.42;3.05739686500819;1;1
grafo10311.91.gml;91;112;7;0.08;54.54;4442;162.64;68;17050;54.54;1.76189358372457;1;1
grafo10312.91.gml;91;116;7;1;33.65;2750;172.73;53;10880;33.65;2.76500627877773;1;1
grafo10317.91.gml;91;123;8;6.03;52.59;1095;188.86;64;4718;52.59;2.45398222874378;1;1
grafo10419.91.gml;91;132;8;2.1;29.89;1646;176.85;155;8400;29.89;3.14810622551154;1;1
grafo10477.91.gml;91;108;5;3.11;46.81;2878;172.3;52;11056;46.81;1.95112316034082;1;1
grafo10500.91.gml;91;120;8;0.04;34.73;3268;168.12;96;14148;34.73;3.33562778840025;1;1
grafo10502.91.gml;91;136;8;0;13.7;6767;9053.07;546;41946;13.7;3568.62589928058;1;1
grafo10624.91.gml;91;138;8;0.46;23.62;1454;182.59;269;8018;23.62;3.78543837059581;1;1
grafo10639.91.gml;91;120;5;0;24.02;6790;186.4;312;30987;24.02;5.62609398141915;1;1
grafo10789.91.gml;91;133;8;0.01;12.64;4193;7501.65;408;22480;12.64;1919.96064569341;1;1
grafo10856.91.gml;91;119;8;0;44.8;425;210.85;79;1976;44.8;2.65205585725369;1;1
grafo11134.91.gml;91;116;8;0.02;43.15;1636;181.86;54;6536;43.15;2.69689982065078;1;1
grafo11174.91.gml;91;117;8;0.08;37.37;1366;185.6;64;5743;37.37;3.04152789342215;1;1
grafo11206.91.gml;91;126;7;0.14;31.13;1744;178.57;140;8648;31.13;2.13484087102178;1;1
grafo11226.91.gml;91;117;6;2.05;38.99;1586;183.53;47;6465;38.99;2.09837902442668;1;1
grafo11257.91.gml;91;129;8;0.01;12.29;6235;7697.51;314;31455;12.29;2127.60338123415;1;1
grafo11300.91.gml;91;126;7;0.06;4.08;6328;5799.97;216;30036;4.08;1047.82663775394;1;1
grafo11312.91.gml;91;115;8;1.1;52.47;2976;165.37;63;11853;52.47;1.64765625;1;1
grafo11315.91.gml;91;131;8;3.61;30.5;814;192.89;112;4063;30.5;2.41976330381528;1;1
grafo11339.91.gml;91;115;8;0.02;38.9;4552;165.6;74;18243;38.9;1.75220272904483;1;1
grafo11349.91.gml;91;107;6;3.75;64.12;5773;161.44;33;21861;64.12;1.6254752851711;1;1
grafo11350.91.gml;91;120;5;0.74;46.69;777;198.72;51;3296;46.69;2.45798351108086;1;1
grafo11430.91.gml;91;121;8;1.29;32.51;4825;164.7;143;21586;32.51;2.12797619047619;1;1
grafo11448.91.gml;91;127;7;1.6;46.36;662;196.49;79;3043;46.36;2.55506402793946;1;1
grafo11453.91.gml;91;128;6;0.24;12.02;0;3063.02;518;36899;12.02;1478.48585825748;1;1
grafo11470.91.gml;91;131;8;0.75;14.99;0;206.31;523;40761;14.99;12.2953488372093;1;1
grafo11471.91.gml;91;130;9;0.02;17.05;4922;199.02;416;26317;17.05;10.2600781686209;1;1
grafo11472.91.gml;91;135;8;0.03;14.52;4153;11893.99;244;22570;14.52;1981.80588664559;1;1
