Nodes;Mixed Old;Lin Yen ;Eades;Huang et al.;Angular Only Old;Crossing Only Old;Mixed;Angular Only;Crossing Only;sd cr;cr_up;cr_down;sd ar;ar_up;ar_down;sd tr;tr_up;tr_down;a;b
11;161.031496062992;210.850393700787;283.828125;234.771653543307;183.889763779528;494.59375;350.714285714286;598.714285714286;2351.42857142857;1550.49721671715;3901.92578814572;800.931354711425;159.764111829195;758.47839754348;438.950173885091;404.12494825709;754.839233971376;0;Nodes;=11
12;164.496503496503;223.034965034965;376.236111111111;262.447552447552;190.65034965035;534.527777777778;647.5;664;1721.5;1234.30533769674;2955.80533769674;487.194662303259;434.735168426327;1098.73516842633;229.264831573673;415.788996460606;1063.28899646061;231.711003539394;Nodes;=12
13;262.459119496855;547.924528301887;537.459627329193;545.099378881988;322.830188679245;836.813664596273;514.6;580;3051.8;1834.80154240179;4886.60154240179;1216.99845759821;243.467656989589;823.467656989589;336.532343010411;442.307960613451;956.907960613451;72.2920393865492;Nodes;=13
14;204.686390532544;418.041420118343;434.201183431953;367.89349112426;275.85798816568;764.591715976331;598.666666666667;765.666666666667;3515.66666666667;922.761796637319;4438.42846330399;2592.90487002935;449.20522407173;1214.8718907384;316.461442594936;447.200386460917;1045.86705312758;151.46628020575;Nodes;=14
15;439.26404494382;684.269662921348;639.949720670391;643.804469273743;478.432584269663;1186.02793296089;825.5;501.4;1933.4;1215.7973332573;3149.1973332573;717.602666742703;337.060561653573;838.460561653573;164.339438346427;654.25336422993;1479.75336422993;171.24663577007;Nodes;=15
16;508.849397590361;847.668674698795;705.808383233533;716.102409638554;621.451807228916;1353.65269461078;840.818181818182;801.545454545455;2409.18181818182;1793.78849467722;4202.97031285904;615.393323504599;401.035001872995;1202.58045641845;400.51045267246;752.234103011648;1593.05228482983;88.5840788065338;Nodes;=16
17;547.48;880.805369127517;903.506666666667;918.08;630.553333333333;1602.58666666667;1094.77777777778;1211.22222222222;2830.33333333333;1472.31433464461;4302.64766797794;1358.01899868872;589.978342352026;1801.20056457425;621.243879870196;778.624169983012;1873.40194776079;316.153607794766;Nodes;=17
18;513.016949152542;988.737288135593;1176.22881355932;986.35593220339;654.152542372881;1458.05084745763;739.846153846154;1013.84615384615;2457.76923076923;1688.95974660174;4146.72897737098;768.809484167487;649.845474728909;1663.69162857506;364.000679117245;698.136777020633;1437.98293086679;41.709376825521;Nodes;=18
19;654.946428571429;1192.25892857143;1107.86607142857;1009.66964285714;776.526785714286;1611.11607142857;916.882352941176;991.705882352941;2831.05882352941;2121.08808959542;4952.14691312483;709.970733933996;533.275112477823;1524.98099483076;458.430769875118;797.975379962958;1714.85773290413;118.906972978219;Nodes;=19
20;661.645161290323;1104.91397849462;1134.86021505376;1152.82795698925;690.817204301075;1861.18279569893;903.333333333333;1294.5;2684.16666666667;1431.36989904035;4115.53656570702;1252.79676762631;610.551241241731;1905.05124124173;683.948758758269;696.744644164448;1600.07797749778;206.588689168886;Nodes;=20
