Nodes;Mixed Old;Lin Yen ;Eades;Huang et al.;Mixed;sd tr;tr_up;tr_down;a;b
11;66.3449606299212;55.3149606299213;60.833046875;62.7912598425197;26.4057142857143;0.900891485612692;27.306605771327;25.5048228001016;Nodes;=11
12;70.4490209790209;57.431048951049;60.9692361111111;63.5081118881119;28.0775;1.02226259711263;29.0997625971126;27.0552374028874;Nodes;=12
13;58.9247798742139;50.7000628930818;50.5873291925466;53.966149068323;35.112;0.984455979133439;36.0964559791334;34.1275440208666;Nodes;=13
14;58.9059171597633;53.0254437869822;51.2316568047337;53.9918934911243;26.5833333333333;0.869756254337262;27.4530895876706;25.7135770789961;Nodes;=14
15;49.111404494382;45.0188202247191;41.5102793296089;43.5720111731844;24.829;0.825046644936252;25.6540466449362;24.0039533550638;Nodes;=15
16;51.1961445783133;44.8321084337349;41.5823952095809;43.4977710843373;34.3172727272727;0.869419362728044;35.1866920900008;33.4478533645447;Nodes;=16
17;48.952;43.5698657718121;39.3078666666666;41.4475333333333;27.9388888888889;0.838376462426132;28.777265351315;27.1005124264628;Nodes;=17
18;46.9008474576271;42.0342372881356;37.3104237288136;38.6322881355932;28.2453846153846;0.969895856976574;29.2152804723612;27.275488758408;Nodes;=18
19;45.8469642857143;41.449375;35.430625;37.9663392857143;27.8188235294118;0.94142843506607;28.7602519644778;26.8773950943457;Nodes;=19
20;46.9979569892473;41.3670967741936;37.1364516129032;39.4338709677419;31.8891666666667;0.936192033746623;32.8253587004133;30.95297463292;Nodes;=20
21;42.8330392156863;38.1547058823529;31.8380392156863;34.623431372549;29.5152173913044;0.725481604414746;30.2406989957191;28.7897357868896;Nodes;=21
22;43.665487804878;38.7263414634146;32.9479518072289;35.105;26.9276470588235;0.950219295027955;27.8778663538515;25.9774277637956;Nodes;=22
23;40.4953333333333;38.532;31.0521052631579;33.601447368421;27.6078571428571;0.736123888547396;28.3439810314045;26.8717332543097;Nodes;=23
24;44.5032876712329;39.7587671232877;34.5321917808219;36.5330136986301;24.3044444444444;0.802372684867859;25.1068171293123;23.5020717595766;Nodes;=24
25;42.3889285714286;39.1755952380952;32.7867441860465;34.0418604651163;27.6427272727273;0.765426397485424;28.4081536702127;26.8773008752418;Nodes;=25
26;42.0143902439025;39.6978048780488;33.6726506024096;35.1911111111111;28.9888888888889;0.810052534629077;29.798941423518;28.1788363542598;Nodes;=26
27;41.7170652173913;36.5556989247312;31.9521505376344;34.6163440860215;30.2158823529412;0.720213879581765;30.9360962325229;29.4956684733594;Nodes;=27
28;38.0195;34.4555;26.4398765432099;29.2046913580247;30.6646666666667;0.856279251816808;31.5209459184835;29.8083874148499;Nodes;=28
29;40.0789855072464;34.7615942028986;28.1788405797101;30.0122058823529;28.8761904761905;0.755743971136944;29.6319344473274;28.1204465050535;Nodes;=29
30;38.1190322580645;32.8346774193548;26.395;28.0293548387097;29.7321052631579;1.49012390713425;31.2222291702921;28.2419813560237;Nodes;=30
31;38.2547058823529;32.4915294117647;29.3910588235294;28.2091764705882;28.2857142857143;0.897037369857572;29.1827516555719;27.3886769158567;Nodes;=31
32;41.2040310077519;36.164921875;29.1246511627907;33.0251162790697;35.4130952380952;0.824253628791366;36.2373488668866;34.5888416093039;Nodes;=32
33;38.9441463414634;32.7556707317073;26.5754819277108;28.8568674698795;32.3801886792453;0.963241636236659;33.3434303154819;31.4169470430086;Nodes;=33
34;39.6633689839572;34.2134759358289;26.431329787234;29.3201595744681;31.5291935483871;0.952755338311735;32.4819488866988;30.5764382100754;Nodes;=34
35;36.9458762886598;28.8243298969072;23.0334693877551;26.1832653061225;30.8435869565217;0.930366533054155;31.7739534895759;29.9132204234676;Nodes;=35
36;34.1673151750973;27.2176953125;19.9910116731517;23.1045525291829;31.030632183908;0.839631836666943;31.870264020575;30.1910003472411;Nodes;=36
37;32.4222742474916;25.3472575250836;18.7240333333333;21.4806;29.1227272727273;2.93589837868957;32.0586256514168;26.1868288940377;Nodes;=37
38;31.3273397435897;24.710608974359;18.378785942492;20.4241853035144;28.7526976744186;0.903588507672319;29.6562861820909;27.8491091667463;Nodes;=38
39;29.3514285714286;22.6919940476191;16.3413905325444;19.4968154761905;27.4588759689923;1.20639273437347;28.6652687033657;26.2524832346188;Nodes;=39
40;29.5342857142857;22.2363669064748;15.03225;18.5562007168459;27.8033920704846;1.02900584667518;28.8323979171597;26.7743862238094;Nodes;=40
41;28.8102183406113;22.1213596491228;14.3266956521739;17.9675982532751;27.3666666666666;1.02602245480231;28.392689121469;26.3406442118643;Nodes;=41
42;28.1591891891892;21.2827027027027;13.886981981982;16.7772972972973;26.5802105263158;1.2493163188265;27.8295268451423;25.3308942074893;Nodes;=42
43;28.1366379310345;21.4396551724138;13.7881896551724;16.8015584415585;26.7302912621359;1.23751496874317;27.9678062308791;25.4927762933927;Nodes;=43
44;28.1465151515151;21.1493401015228;13.6129797979798;16.9410204081633;26.7143195266272;1.17588212267588;27.8902016493031;25.5384374039513;Nodes;=44
45;27.3702958579882;21.4280473372781;12.2372514619883;17.2758235294118;25.3106993006993;1.21655148772204;26.5272507884213;24.0941478129773;Nodes;=45
46;26.796301369863;19.8653741496599;12.4702702702703;16.9099324324324;25.3355118110236;6.16894052532162;31.5044523363452;19.166571285702;Nodes;=46
47;27.5707936507936;20.9642741935484;13.6942063492064;16.2553174603175;25.2905504587156;1.10257435763915;26.3931248163547;24.1879761010764;Nodes;=47
48;29.3166666666667;19.7113541666667;14.8504166666667;18.5759375;27.5291139240506;0.877245800985922;28.4063597250365;26.6518681230647;Nodes;=48
49;29.0812371134021;20.3347422680412;13.5945360824742;16.3035051546392;27.6903529411765;0.817253327338453;28.5076062685149;26.873099613838;Nodes;=49
50;27.2881034482759;20.2703448275862;13.5184745762712;16.2793220338983;26.0712244897959;1.47964964936649;27.5508741391624;24.5915748404294;Nodes;=50
51;25.951375;19.007375;11.0485;15.113875;25.0865714285714;1.00960806964513;26.0961794982166;24.0769633589263;Nodes;=51
52;25.1379545454545;18.2684090909091;12.0148314606742;16.0291011235955;24.6113095238095;2.62822435232222;27.2395338761317;21.9830851714873;Nodes;=52
53;25.4423684210526;17.7577678571429;11.6315652173913;14.5373684210526;25.1158333333333;1.16050402837128;26.2763373617046;23.9553293049621;Nodes;=53
54;26.3843925233645;17.5802803738318;9.52953703703704;14.72;26.0407766990291;1.14892748048863;27.1897041795177;24.8918492185405;Nodes;=54
55;25.6012698412698;18.317619047619;9.90622047244094;15.2675396825397;24.3268695652174;1.44671188081827;25.7735814460357;22.8801576843991;Nodes;=55
56;24.8063503649635;17.2683941605839;9.75299270072993;14.0792700729927;23.5965079365079;1.61310743311019;25.2096153696181;21.9834005033978;Nodes;=56
57;24.0617924528302;15.7140566037736;8.94933962264151;12.5256603773585;23.9898095238095;1.20833853607891;25.1981480598884;22.7814709877306;Nodes;=57
58;25.7393043478261;18.2734210526316;10.3586956521739;13.6638260869565;24.9304716981132;1.91427628886923;26.8447479869824;23.016195409244;Nodes;=58
59;23.9361111111111;16.2908333333333;9.78688073394496;11.9522018348624;23.8880373831776;1.49524615709629;25.3832835402739;22.3927912260813;Nodes;=59
60;24.2599236641221;15.6081679389313;8.09053435114504;12.7189312977099;23.7152380952381;1.68230803103244;25.3975461262705;22.0329300642057;Nodes;=60
61;22.3625465838509;15.6450314465409;7.54863354037267;12.1905625;22.2725786163522;1.66835651832276;23.940935134675;20.6042220980294;Nodes;=61
62;22.0792666666667;14.7604666666667;7.77980132450331;11.1213245033113;21.8966891891892;1.4152186513599;23.3119078405491;20.4814705378293;Nodes;=62
63;22.6829032258064;14.1112096774194;8.95524193548387;11.7858870967742;22.3886885245902;1.37117616301137;23.7598646876015;21.0175123615788;Nodes;=63
64;23.1957851239669;14.383;7.4605785123967;12.10825;23.1957851239669;1.49009738931521;24.6858825132821;21.7056877346517;Nodes;=64
65;23.693;15.1838532110092;8.09609090909091;11.5940909090909;23.2982242990654;1.45911519968173;24.7573394987471;21.8391090993837;Nodes;=65
66;23.3257142857143;14.0608163265306;7.38877551020408;12.1923469387755;23.3007216494845;1.35595677921787;24.6566784287024;21.9447648702667;Nodes;=66
67;23.4775247524753;15.229801980198;7.86435643564356;11.6721782178218;22.8759793814433;1.56338219170839;24.4393615731517;21.3125971897349;Nodes;=67
68;22.0716483516484;13.4434065934066;6.9567032967033;11.1245054945055;21.9318888888889;1.49369919084597;23.4255880797349;20.4381896980429;Nodes;=68
69;24.2553571428571;14.2297619047619;7.22202380952381;11.5232142857143;23.64275;1.80876271297001;25.45151271297;21.83398728703;Nodes;=69
70;22.5016049382716;13.012;6.36283950617284;9.91222222222222;22.380875;1.80669424390105;24.1875692439011;20.5741807560989;Nodes;=70
71;23.3589010989011;15.0607692307692;6.82802197802198;11.265;22.9431460674157;1.39169593700558;24.3348420044213;21.5514501304101;Nodes;=71
72;22.2224175824176;14.3498888888889;7.15184782608696;10.9913043478261;22.0149438202247;1.26285096150209;23.2777947817268;20.7520928587226;Nodes;=72
73;23.4478571428571;13.4885714285714;7.12858823529412;11.5504705882353;23.4478571428571;1.17087008515225;24.6187272280094;22.2769870577049;Nodes;=73
74;22.8249056603774;13.1621904761905;7.78575471698113;10.9265714285714;22.8249056603774;8.28609177355535;31.1109974339327;14.538813886822;Nodes;=74
75;23.0560185185185;13.625462962963;6.70305555555556;11.0011111111111;22.9823364485981;1.36212646298498;24.3444629115831;21.6202099856131;Nodes;=75
76;21.2932432432433;11.9711711711712;5.38741071428572;9.93603603603603;21.2932432432433;1.7441704166672;23.0374136599105;19.5490728265761;Nodes;=76
77;21.9723333333333;12.7790833333333;6.50525;10.8003389830508;21.8672268907563;1.91593259647075;23.7831594872271;19.9512942942856;Nodes;=77
78;21.526;11.6603333333333;6.07066666666666;9.73863247863248;21.526;1.49863429731059;23.0246342973106;20.0273657026894;Nodes;=78
79;21.1141935483871;10.4135483870968;5.4105376344086;9.36434782608696;21.1141935483871;1.76471731374059;22.8789108621277;19.3494762346465;Nodes;=79
80;20.7814705882353;11.1611764705882;5.0243137254902;8.45386138613861;20.7814705882353;1.63379997116229;22.4152705593976;19.147670617073;Nodes;=80
81;20.7751685393258;11.3691111111111;5.04164835164835;8.53637362637362;20.7751685393258;1.9203050369459;22.6954735762717;18.8548635023799;Nodes;=81
82;19.6059770114943;11.0831395348837;4.60511363636364;8.73609195402299;19.6059770114943;1.82869467633737;21.4346716878316;17.7772823351569;Nodes;=82
83;20.2393023255814;10.5382558139535;5.01081395348837;8.86023255813953;20.2393023255814;1.69718982227707;21.9364921478585;18.5421125033043;Nodes;=83
84;20.239358974359;10.4384615384615;5.39102564102564;7.68243589743589;20.239358974359;1.76931459266816;22.0086735670271;18.4700443816908;Nodes;=84
85;20.1128767123288;11.3042465753425;5.2713698630137;8.49657534246575;20.1128767123288;1.53119633954317;21.6440730518719;18.5816803727856;Nodes;=85
86;17.971;11.3273913043478;4.90442857142857;9.03463768115942;17.971;1.53850600602235;19.5095060060223;16.4324939939776;Nodes;=86
87;20.3425;11.8168656716418;4.81632352941177;7.75735294117647;20.3425;19.23792505627;39.58042505627;1.10457494372997;Nodes;=87
88;20.5679710144928;11.6613043478261;4.48521739130435;8.46;20.5679710144928;2.05440762119533;22.6223786356881;18.5135633932974;Nodes;=88
89;19.7931746031746;10.0606349206349;5.33603174603175;8.56380952380952;19.7585483870968;1.86966654321687;21.6282149303136;17.8888818438799;Nodes;=89
90;19.5427586206897;9.7096551724138;4.65101694915254;7.48810344827586;19.5427586206897;1.60275475746669;21.1455133781563;17.940003863223;Nodes;=90
91;20.336347826087;11.3558260869565;4.57103448275862;8.80114035087719;20.336347826087;1.80640147346392;22.1427492995509;18.529946352623;Nodes;=91
92;19.1993277310924;10.0121008403361;4.1963025210084;8.02193277310924;19.1993277310924;2.38367933742242;21.5830070685149;16.81564839367;Nodes;=92
93;19.9963432835821;10.3361194029851;4.57835820895522;7.70761194029851;19.9963432835821;1.99204515729374;21.9883884408758;18.0042981262883;Nodes;=93
94;18.6952317880795;10.128947368421;4.02636363636364;8.280522875817;18.6952317880795;3.10532363399529;21.8005554220748;15.5899081540842;Nodes;=94
95;18.0865217391304;9.71702898550725;4.34035971223021;7.68802919708029;18.0865217391304;4.7235178542876;22.810039593418;13.3630038848428;Nodes;=95
96;19.0261486486486;10.5925342465753;4.13087837837838;7.31353741496598;19.0261486486486;2.17255272238267;21.1987013710313;16.853595926266;Nodes;=96
97;18.3657971014493;9.2863768115942;3.60287769784173;7.2863309352518;18.3657971014493;3.13386316533526;21.4996602667845;15.231933936114;Nodes;=97
98;18.423006993007;8.89090909090909;3.70993006993007;7.09272727272727;18.423006993007;2.5371495217995;20.9601565148065;15.8858574712075;Nodes;=98
99;18.1347222222222;8.63340277777778;3.30965277777778;7.01027777777778;18.1347222222222;2.84328708661966;20.9780093088419;15.2914351356026;Nodes;=99
100;18.4770714285714;9.19685714285715;3.7763829787234;7.07392857142857;18.4770714285714;2.11597634263588;20.5930477712073;16.3610950859356;Nodes;=100
