n_min;n_max;avg;an rm;an rm-1;an fa;an tr;ar rm;ar rm-1;ar fa;ar tr;cn rm;cn rm-1;cn fa;cn tr;it rm;it rm-1;it fa;it tr;sd cr rm;sd cr rm-1;sd cr fa;sd cr tr;cr_up rm;cr_up rm-1;cr_up fa;cr_up tr;cr_down rm;cr_down rm-1;cr_down fa;cr_down tr;sd asp rm;sd asp rm-1;sd asp fa;sd asp tr;asp_up rm;asp_up rm-1;asp_up fa;asp_up tr;asp_down rm;asp_down rm-1;asp_down fa;asp_down tr;sd cn rm;sd cn rm-1;sd cn fa;sd cn tr;cn_up rm;cn_up rm-1;cn_up fa;cn_up tr;cn_down rm;cn_down rm-1;cn_down fa;cn_down tr;sd it rm;sd it rm-1;sd it fa;sd it tr;it_up rm;it_up rm-1;it_up fa;it_up tr;it_down rm;it_down rm-1;it_down fa;it_down tr;a;b
10;12;11;29.6908510204082;24.2162979591837;15.585806122449;19.115306122449;7.01888173743668;2.33000360486416;2.37681788003178;3.62039359475203;19.6734693877551;16.3877551020408;15.6530612244898;16.3265306122449;1426.5306122449;1038.77551020408;471.428571428571;532.265306122449;11.8535472715471;10.9766346075138;10.1337762677059;9.46600828888133;41.5443982919552;35.1929325666975;25.7195823901549;28.5813144113303;17.8373037488611;13.2396633516698;5.45202985474304;9.64929783356765;12.3564169705553;0.62111966172562;0.501111374433682;0.935566139859156;19.375298707992;2.95112326658978;2.87792925446547;4.55595973461118;1;1.70888394313854;1.8757065055981;2.68482745489287;34.8815780863756;24.2897580666991;22.8295778728022;26.2633995602737;54.5550474741307;40.6775131687399;38.482639097292;42.5899301725186;0;0;0;0;996.195996069566;764.257898915295;989.52850725316;360.737888195282;2422.72660831446;1803.03340911938;1460.95707868173;893.003194317731;430.334616175333;274.517611288786;0;171.527417927167;n_floor;=9
13;15;14;23.0032542857143;19.60968;13.7748485714286;16.5868571428571;9.35191453533735;2.65915754156322;2.50820283279918;6.07324197327939;40.3142857142857;32.1714285714286;30.4571428571429;38.4;1168.57142857143;1031.42857142857;780;549;10.5640591848673;9.76995356653425;8.90212939930572;9.34751139307664;33.5673134705815;29.3796335665343;22.6769779707343;25.9343685359338;12.439195100847;9.83972643346575;4.87271917212285;7.23934574978051;9.79810907433974;0.749730569596729;0.59333401536261;6.12580977523143;19.1500236096771;3.40888811115995;3.10153684816179;12.1990517485108;1;1.90942697196649;1.91486881743657;1;61.4859005495289;51.3090324087552;49.2134264661364;68.8742246673559;101.800186263815;83.4804609801838;79.6705693232793;107.274224667356;0;0;0;0;745.485009346039;678.567448020169;1066.27443768975;516.67830473926;1914.05643791747;1709.99601944874;1846.27443768975;1065.67830473926;423.08641922539;352.861123408402;0;32.3216952607403;n_floor;=12
16;18;17;30.056175;25.957665;19.93772;19.016;9.30628499354172;2.20421563769912;2.31477599002965;5.05683533191243;39.95;34.65;33.9;47.45;990;815;1360;1037.85;13.4587303608153;10.4689875693716;12.0440792914851;12.465118657995;43.5149053608153;36.4266525693716;31.981799291485;31.481118657995;16.5974446391847;15.4886774306284;7.89364070851495;6.55088134200502;6.67076348524963;0.670866811303805;0.694962063022273;4.47135349333155;15.9770484787914;2.87508244900293;3.00973805305193;9.52818882524398;2.63552150829209;1.53334882639532;1.61981392700738;1;84.8828759619922;77.0982114612675;77.4745459048189;122.632302347087;124.832875961992;111.748211461267;111.374545904819;170.082302347087;0;0;0;0;995.1990015226;619.23127216013;2892.8951078916;977.237636078565;1985.1990015226;1434.23127216013;4252.8951078916;2015.08763607856;0;195.76872783987;0;60.6123639214353;n_floor;=15
19;21;20;25.92068;21.030956;15.341772;20.6368;11.254137104326;2.65780478626278;2.82849008552856;10.5271126969408;82.24;65.08;62.52;100.16;796;1084;420;853.16;15.2509124922631;14.0148426446773;12.6104719343198;16.7578214872936;41.1715924922631;35.0457986446773;27.9522439343198;37.3946214872936;10.6697675077369;7.01611335532265;2.73130006568023;3.87897851270637;10.2651996581138;1.0263910222073;0.956378949278639;22.4143347729359;21.5193367624398;3.68419580847009;3.7848690348072;32.9414474698766;1;1.63141376405548;1.87211113624992;1;144.352081153454;122.732065899666;118.89004724254;210.831820811439;226.592081153454;187.812065899666;181.41004724254;310.991820811439;0;0;0;0;1000.61647664494;1013.52520113381;677.00320038633;638.992219566613;1796.61647664494;2097.52520113381;1097.00320038633;1492.15221956661;0;70.4747988661884;0;214.167780433387;n_floor;=18
22;24;23;23.33208;19.6930133333333;12.4809366666667;15.2056666666667;13.396348678681;2.50413057373351;2.49493541374611;6.36130932636685;56.9333333333333;48.1;42.7;49.9666666666667;646.666666666667;810;260;857.733333333333;15.1911746901671;12.3964735587553;9.41805739543891;11.739383665703;38.5232546901671;32.0894868920886;21.8989940621056;26.9450503323697;8.14090530983294;7.29653977457802;3.06287927122776;3.46628300096365;9.38409772054257;0.687979538232173;0.533860381253642;3.69414542819822;22.7804463992235;3.19211011196569;3.02879579499976;10.0554547545651;4.0122509581384;1.81615103550134;1.96107503249247;2.66716389816863;60.2316982266345;57.9960462386045;49.7054427048262;61.2268159265672;117.165031559968;106.096046238604;92.4054427048262;111.193482593234;0;0;0;0;517.775968950847;641.307930770364;212.700209944289;535.514508212193;1164.44263561751;1451.30793077036;472.70020994429;1393.24784154553;128.89069771582;168.692069229636;47.2997900557105;322.21882512114;n_floor;=21
25;27;26;24.0941705882353;21.4243823529412;15.0753588235294;16.3235294117647;9.88921630772934;2.58271925256907;2.85743893876375;8.81958803649363;160.352941176471;145;152.411764705882;172.294117647059;605.882352941176;835.294117647059;470.588235294118;836.64705882353;13.1944897538596;12.6257093798346;11.18487008139;12.5675449776281;37.2886603420949;34.0500917327758;26.2602289049194;28.8910743893928;10.8996808343757;8.79867297310655;3.89048874213939;3.75598443413658;5.11751237400692;1.04353346688986;1.00634346270668;16.1257013945741;15.0067286817363;3.62625271945892;3.86378240147042;24.9452894310677;4.77170393372243;1.53918578567921;1.85109547605707;1;510.760088150062;495.662057252721;536.863001475182;604.163860710185;671.113029326532;640.662057252721;689.274766181064;776.457978357243;0;0;0;0;496.82817481914;613.332267688759;399.632183830258;756.367878513531;1102.71052776032;1448.62638533582;870.220419124376;1593.01493733706;109.054178122037;221.9618499583;70.9560514638596;80.2791803099989;n_floor;=24
28;30;29;19.2318642857143;17.6229285714286;12.5873071428571;13.7557142857143;11.7019305291276;3.36701638711735;2.8648344878625;40.1747185778981;231.5;204.928571428571;214.785714285714;290.428571428571;500;507.142857142857;950;905.357142857143;13.1988389599882;12.6823708338919;10.3820863731321;12.057938154074;32.4307032457025;30.3052994053205;22.9693935159893;25.8136524397882;6.03302532572605;4.94055773753668;2.20522076972502;1.69777613164032;15.8108818649066;1.27491970865635;1.01046175851582;67.5100753926955;27.5128123940342;4.6419360957737;3.87529624637832;107.684793970594;1;2.092096678461;1.85437272934668;1;425.335297600159;377.409482634469;397.109397554847;568.250853907878;656.835297600158;582.33805406304;611.895111840561;858.67942533645;0;0;0;0;588.348405414552;560.856879747801;1317.77784984362;667.942375121924;1088.34840541455;1067.99973689066;2267.77784984362;1573.29951797907;0;0;0;237.414767735219;n_floor;=27
31;33;32;18.8891944444444;18.61315;12.5209777777778;14.2477777777778;10.8459455844796;3.09369250816756;2.80691225564117;21.8567783974089;226.777777777778;215.666666666667;203.333333333333;245.666666666667;366.666666666667;966.666666666667;761.111111111111;1119.61111111111;15.5588560659374;13.2468571434999;11.8167480423814;11.0905293755558;34.4480505103818;31.8600071434999;24.3377258201592;25.3383071533335;3.33033837850709;5.36629285650011;0.704229735396396;3.15724840222201;6.4387099744178;1.14899558522788;0.86300827210632;38.9717733746036;17.2846555588974;4.24268809339543;3.66992052774749;60.8285517720125;4.40723561006183;1.94469692293968;1.94390398353485;1;346.776170487969;359.141787500998;337.901482335763;416.318882306227;573.553948265746;574.808454167664;541.234815669096;661.985548972893;0;0;0;0;332.548094708296;1032.98539366702;1074.37472315372;1220.78514460205;699.214761374962;1999.65206033369;1835.48583426483;2340.39625571316;34.1185719583709;0;0;0;n_floor;=30
34;36;35;19.8873588235294;19.4845;13.4102235294118;18.2517647058824;14.3572169148441;3.14087112239756;2.94076939146933;41.479512318222;132;117.647058823529;119.764705882353;176.058823529412;476.470588235294;629.411764705882;382.352941176471;1353.64705882353;15.2397649311784;14.5777982193814;13.4641453753817;15.7301459129017;35.1271237547078;34.0622982193814;26.8743689047934;33.981910618784;4.64759389235106;4.90670178061858;0;2.5216187929807;11.1634687480863;1.06898566471548;0.787873226865936;87.6437339843454;25.5206856629304;4.20985678711305;3.72864261833527;129.123246302567;3.19374816675777;2.07188545768208;2.15289616460339;1;210.48663853081;208.054061837444;227.086307769691;335.473819877989;342.48663853081;325.701120660973;346.851013652043;511.532643407401;0;0;0;0;482.868268481045;749.803895930757;400.367478258486;1449.81175248618;959.338856716339;1379.21566063664;782.720419434956;2803.45881130971;0;0;0;0;n_floor;=33
37;39;38;14.5295529411765;16.2513823529412;10.0596470588235;12.3582352941176;28.8087545143368;3.43459870729705;2.88544501041538;30.1240500460295;193.411764705882;189.058823529412;179.176470588235;298.529411764706;482.352941176471;882.352941176471;1664.70588235294;891.058823529412;10.1327964290539;9.22933763679952;8.08083127609079;8.15529600573618;24.6623493702304;25.4807199897407;18.1404783349143;20.5135312998538;4.39675651212259;7.02204471614166;1.97881578273274;4.20293928838147;49.6615483471789;1.21580826567399;1.13152105201544;55.5412870767293;78.4703028615157;4.65040697297104;4.01696606243082;85.6653371227588;1;2.21879044162307;1.75392395839994;1;359.7083990581;391.223796341083;373.59156094827;652.478363400567;553.120163763982;580.282619870495;552.768031536505;951.007775165273;0;0;0;0;518.694628511862;618.703578175413;5231.98590122224;562.911790446362;1001.04756968833;1501.05651935188;6896.69178357518;1453.97061397577;0;263.649363001058;0;328.147033083049;n_floor;=36
