graph name;iterations-rm;time-rm;cr-rm;n;m;ar-rm;asp-rm;cn-rm;tr-rm;iterations-rm-1;time-rm-1;cr-rm-1;ar-rm-1;asp-rm-1;cn-rm-1;tr-rm-1;iterations-fa;time-fa;cr-fa;ar-fa;asp-fa;cn-fa;tr-fa
grafo1636.11.graphml;600;78;89.8475;11;20;22.8694;80.3189075537937;5;89.8475;2200;193;81.3084;20.7188;1.5836329097484;6;81.3084;200;26;76.6253;21.7323;1.69186643621766;6;76.6253
grafo1683.11.graphml;1200;78;89.9262;11;19;13.8894;8.95208892568296;3;89.9262;300;24;89.6283;18.3219;2.43281688030367;3;89.6283;700;59;68.0738;17.3697;1.95105215547683;3;68.0738
grafo1697.11.graphml;500;47;89.9627;11;17;17.354;15.802379869927;2;89.9627;900;58;89.9637;15.6975;1.92578840425033;2;89.9637;5600;418;70.4951;21.1492;1.63088175754361;3;70.4951
grafo1876.11.graphml;1300;125;88.5607;11;19;24.8988;5.54487041254892;4;88.5607;700;52;75.6149;28.8087;1.52924938456978;4;75.6149;300;29;74.3824;27.9273;1.5247533360007;4;74.3824
grafo1920.11.graphml;400;47;88.2413;11;22;18.0605;18.4806728467664;4;88.2413;1900;176;77.424;19.594;1.9462322140351;8;77.424;2700;299;46.2323;14.5227;2.35679417558619;11;46.2323
grafo2109.11.graphml;500;32;89.8781;11;18;18.1852;9.13833421420538;3;89.8781;500;37;84.648;14.9961;1.71728247557942;5;84.648;2700;176;81.9139;22.0062;1.82952988888566;5;81.9139
grafo2136.11.graphml;200;16;89.9543;11;17;35.4548;9.10528038434773;1;89.9543;300;24;89.6582;39.0577;1.57110473293674;2;89.6582;400;19;86.8175;39.9118;1.57342580076976;2;86.8175
grafo1722.12.graphml;1200;125;84.4402;12;21;3.7112;15.4153295850525;9;84.4402;2200;164;82.7036;5.4403;2.09671219203266;7;82.7036;100;17;46.9947;17.9232;2.22469397331643;14;43.3473
grafo1750.12.graphml;400;47;89.9918;12;18;20.9253;8.35325315849585;1;89.9918;2100;151;77.3848;25.3043;1.6998496024349;3;77.3848;200;18;75.2431;30.9345;1.6663999920768;3;75.2263
grafo1807.12.graphml;600;46;89.9832;12;17;35.323;7.19367404399345;1;89.9832;1000;69;89.9843;32.2756;1.61269479065531;2;89.9843;6000;547;84.8793;33.3595;1.59134906620233;3;84.8793
grafo574.12.graphml;200;16;89.8954;12;19;31.6984;6.86600414524751;1;89.8954;700;34;89.9468;35.1159;1.67823499389031;2;89.9468;300;24;85.9396;36.8049;1.49725396838053;3;85.9396
grafo1754.13.graphml;1200;141;89.9223;13;21;18.6717;11.3219904967944;2;89.9223;300;30;71.3394;22.833;1.66506072891635;4;71.3394;100;10;58.3913;15.3355;1.68456526145087;4;57.7264
grafo192.13.graphml;200;16;89.9835;13;17;38.5368;5.01457370468641;1;89.9835;400;28;89.9832;32.8547;1.3917719515618;1;89.9832;200;15;88.4794;41.656;1.29429057319692;2;88.4787
grafo2120.13.graphml;700;47;89.7689;13;20;13.694;19.349945147131;4;89.7689;2000;157;89.5664;15.9454;1.70625433004866;5;89.5664;400;30;74.7483;17.6536;1.78592590676277;5;74.7483
grafo317.13.graphml;1100;140;80.3911;13;21;6.7853;8.39531860575842;7;80.3911;900;80;88.5871;7.28;1.98592212356517;3;88.5871;300;28;78.958;3.0347;1.59095785144876;4;78.958
grafo635.13.graphml;1100;94;89.9962;13;17;41.0176;2.121425662655;1;89.9962;300;17;89.9374;35.2245;1.69009808451158;1;89.9374;600;45;84.4862;40.486;1.53331729306015;1;84.4862
grafo1951.14.graphml;1200;109;89.7973;14;25;17.581;15.2504514454718;4;89.7973;500;43;88.9789;17.0342;1.84499678490518;6;88.9789;5500;673;67.0321;19.2202;1.891946614872;9;67.0321
grafo3042.14.graphml;1100;125;89.9461;14;18;33.7011;11.8077039685003;3;89.9461;1800;125;89.7772;31.7595;1.40762148722142;3;89.7772;200;18;87.8744;35.5894;1.45370970649776;2;87.8744
grafo687.14.graphml;600;78;89.6006;14;22;6.9698;5.37546217119672;4;89.6006;800;66;73.1867;10.2628;1.95386993450333;6;73.1867;4700;488;71.8921;20.6225;2.1126450362233;5;71.8921
grafo1013.15.graphml;1100;124;89.9561;15;23;10.8012;20.204416432281;2;89.9561;2800;214;67.8362;12.7921;1.53420940533858;4;67.8362;400;46;82.6563;3.4045;1.6216053882356;3;82.0965
grafo1129.15.graphml;1600;187;82.0854;15;27;8.2234;8.78846352674942;11;82.0854;1000;117;73.5582;5.7629;1.84662493314617;11;73.5582;800;115;60.7285;12.2669;1.88356404219551;13;60.7285
grafo2169.15.graphml;1300;94;89.7497;15;21;20.5181;5.98278058953484;3;89.7497;500;40;75.887;21.3802;2.15601661480428;4;75.887;200;24;69.0498;25.6836;1.55429802016356;5;67.7059
grafo2502.15.graphml;300;31;89.9926;15;20;23.1462;5.03665460849765;1;89.9926;1700;96;89.6289;20.5831;1.90271655954537;2;89.6289;10200;921;74.1991;24.4057;1.61978367067666;2;74.1991
grafo2752.15.graphml;1200;125;89.9839;15;24;16.2285;2.74290961574286;2;89.9839;600;58;89.9692;13.6711;2.83638183107241;2;89.9692;700;69;89.7429;31.3491;1.86988697921069;2;89.7411
grafo295.15.graphml;300;32;89.0206;15;21;31.6735;10.0786090261611;3;89.0206;400;38;89.992;35.4853;1.75301546904597;1;89.992;200;18;88.1405;33.5759;1.70510065088342;2;87.2324
grafo337.15.graphml;700;94;89.9867;15;23;6.8401;8.29142391921704;2;89.9867;900;74;89.1262;9.5385;2.03945588883726;4;89.1262;3100;365;63.5795;9.9347;1.81939183613402;7;63.5795
grafo386.15.graphml;1000;94;89.9124;15;24;23.2594;11.3986691702555;1;89.9124;700;57;75.9799;24.2895;2.10216170705867;5;75.9799;700;98;76.1679;31.9526;1.54751840996076;6;76.1679
grafo710.15.graphml;300;31;89.9527;15;21;30.2145;1.80663279015739;2;89.9527;300;25;73.4062;29.0397;1.8081475493651;4;73.4062;7900;812;69.869;31.2207;1.61063615599918;4;69.776
grafo947.15.graphml;800;62;89.8015;15;24;5.0981;12.0643432793927;3;89.8015;1300;82;87.5871;15.4431;2.0691392313496;6;87.5871;100;12;76.9649;21.484;1.83502230324963;6;75.6339
