n;crossing resolution fa;crossing resolution rm;crossing resolution tr;crossing resolution rm-1;angular resolution fa;angular resolution rm;angular resolution tr;angular resolution rm-1;Aspect ratio fa;Aspect ratio rm;Aspect ratio tr;Aspect ratio rm-1;Crossing number fa;Crossing number rm;Crossing number tr;Crossing number rm-1;Time fa;Time rm;Time tr;Time rm-1;Iterations rm;Iterations rm-1;Iterations fa;sd crossing resolution fa;sd crossing resolution rm;sd crossing resolution rm-1;cr_up fa;cr_down fa;cr_up rm;cr_down rm;cr_up rm-1;cr_down rm-1;sd aspect ratio fa;sd aspect ratio rm;sd aspect ratio rm-1;asp_up fa;asp_down fa;asp_up rm;asp_down rm;asp_up rm-1;asp_down rm-1;sd crossing number fa;sd crossing number rm;sd crossing number rm-1;cn_up fa;cn_down fa;cn_up rm;cn_down rm;cn_up rm-1;cn_down rm-1;sd iterations fa;sd iterations rm;sd iterations rm-1;it_up fa;it_down fa;it_up rm;it_down rm;it_up rm-1;it_down rm-1;a;b
11;72.0771857142857;89.4815428571429;72.0771857142857;84.0350714285714;23.5170285714286;21.5303;23.5170285714286;22.4563857142857;1.79404336435434;21.0489334581817;1.79404336435434;1.81515814306049;4.85714285714286;3.14285714285714;4.85714285714286;4.28571428571429;146.571428571429;60.4285714285714;146.571428571429;80.5714285714286;671.428571428571;971.428571428572;1800;13.0800444673592;0.744990782621153;6.06174326348295;85.157230181645;58.9971412469265;90;88.7365520745217;90;77.9733281650885;0.288920575236047;26.5150113397493;0.320263237453568;2.08296393959039;1.5051227891183;47.563944797931;1;2.13542138051406;1.49489490560692;3.02371578407382;1.3451854182691;2.21466970556828;7.88085864121667;1.83342707306904;4.48804256112624;1.79767172458804;6.50038399128257;2.071044580146;2001.66597280032;415.187851918806;771.82529481372;3801.66597280032;0;1086.61642334738;256.240719509765;1743.25386624229;199.603276614852;n;=11
12;73.264175;88.57765;73.264175;85.004875;29.755525;22.914475;29.755525;24.534025;1.74492424999402;9.45706523319733;1.74492424999402;1.7718728947533;5.75;3;5.75;3.5;151.5;58.5;151.5;104.5;600;1500;1650;18.1620390616206;2.75864390537573;6.12586607938012;90;55.1021359383794;90;85.8190060946243;90;78.8790089206199;0.327246569612511;4.02309385173891;0.219707114886757;2.07217081960653;1.41767768038151;13.4801590849362;5.43397138145841;1.99158000964005;1.55216577986654;5.5;4;2.38047614284762;11.25;0.25;7;0;5.88047614284762;1.11952385715238;2901.1491975882;432.049379893857;761.577310586391;4551.1491975882;0;1032.04937989386;167.950620106143;2261.57731058639;738.422689413609;n;=12
13;77.01264;88.0124;77.01264;85.8827;23.63316;23.74108;23.63316;22.82752;1.57781137718389;9.24065072340505;1.57781137718389;1.68782144372071;3.2;3;3.2;2.8;25.6;87.6;25.6;62.4;860;780;320;11.651251526467;4.26139418500566;8.14932040540805;88.663891526467;65.361388473533;90;83.7510058149944;90;77.733379594592;0.185232724450184;6.62924369405642;0.210577967544894;1.76304410163408;1.39257865273371;15.8698944174615;2.61140702934862;1.89839941126561;1.47724347617582;1.6431676725155;2.54950975679639;1.78885438199983;4.8431676725155;1.5568323274845;5.54950975679639;0.450490243203608;4.58885438199983;1.01114561800017;192.353840616713;415.932686861708;725.947656515261;512.353840616713;127.646159383287;1275.93268686171;444.067313138292;1505.94765651526;54.0523434847386;n;=13
14;75.5995333333333;89.7813333333333;75.5995333333333;83.9809333333333;25.1440333333333;19.4173;25.1440333333333;19.6855;1.81943378586435;10.8112058617229;1.81943378586435;1.73549606887664;5.33333333333333;3.66666666666667;5.33333333333333;5;393;104;393;78;966.666666666667;1033.33333333333;3466.66666666667;10.9045478477254;0.173302519697013;9.35659797486957;86.5040811810588;64.6949854856079;89.9546358530304;89.6080308136363;90;74.6243353584638;0.335399053320288;5.01234572324876;0.289118741432558;2.15483283918464;1.48403473254406;15.8235515849717;5.79886013847418;2.0246148103092;1.44637732744409;3.51188458428425;0.577350269189626;1.73205080756888;8.84521791761758;1.82144874904909;4.24401693585629;3.08931639747704;6.73205080756888;3.26794919243112;2857.15476187996;321.455025366432;680.685928555405;6323.82142854663;609.511904786706;1288.1216920331;645.211641300235;1714.01926188874;352.647404777929;n;=14
15;75.10984;89.04416;75.10984;81.29709;22.52777;17.6003;22.52777;18.79855;1.7066807456709;8.63949029579895;1.7066807456709;2.00478691895634;5;3;5;4.3;248;87.4;248;80.1;860;1020;2430;9.71954479309031;2.46256862113074;8.70490860982724;84.8293847930903;65.3902952069097;90;86.5815913788693;90;72.5921813901728;0.133195112815989;5.34166791857242;0.347719267148421;1.83987585848689;1.57348563285491;13.9811582143714;3.29782237722653;2.35250618610476;1.65706765180792;3.36650164612069;2.90593262902712;2.79085809185793;8.36650164612069;1.63349835387931;5.90593262902712;0.094067370972884;7.09085809185793;1.50914190814207;3634.41879810239;459.951688284276;758.360805363193;6064.41879810239;0;1319.95168828428;400.048311715724;1778.36080536319;261.639194636807;n;=15
16;71.3981818181818;89.0263636363637;71.3981818181818;80.9269909090909;23.7032545454545;18.1141636363636;23.7032545454545;21.2493636363636;1.79572498907977;13.974603287963;1.79572498907977;1.85446031076904;5.54545454545455;3.45454545454545;5.54545454545455;4.81818181818182;119;97.7272727272727;119;104.636363636364;781.818181818182;1218.18181818182;1190.90909090909;13.4830621323065;2.64467885395287;8.77086174095277;84.8812439504883;57.9151196858754;90;86.3816847824108;89.6978526500437;72.1561291681382;0.294378473838391;16.7136168457079;0.371284363246227;2.09010346291816;1.50134651524138;30.6882201336709;1;2.22574467401526;1.48317594752281;4.39007144278169;3.58785831279989;4.06984475915684;9.93552598823623;1.15538310267286;7.04240376734535;0;8.88802657733865;0.748337059024983;1929.48415150503;612.891804184363;789.706504744873;3120.39324241412;0;1394.70998600255;168.926377633819;2007.88832292669;428.475313436946;n;=16
17;67.2837777777778;89.4952444444444;67.2837777777778;81.7659333333333;23.1149555555556;18.5924888888889;23.1149555555556;20.1219111111111;1.90817364167163;29.8547708289627;1.90817364167163;1.88194193393552;6.44444444444444;3.66666666666667;6.44444444444444;5;599.333333333333;124.777777777778;599.333333333333;123.555555555556;966.666666666667;1100;4800;13.8110293715546;1.10993881375406;8.21686438019395;81.0948071493324;53.4727484062231;90;88.3853056306904;89.9827977135273;73.5490689531394;0.404027066559129;41.963754122599;0.131699481008827;2.31220070823076;1.5041465751125;71.8185249515617;1;2.01364141494434;1.75024245292669;3.87656778320434;3.08220700148449;3.35410196624968;10.3210122276488;2.56787666124011;6.74887366815116;0.584459665182178;8.35410196624969;1.64589803375032;7632.82385490455;640.312423743285;812.403840463596;12432.8238549046;0;1606.97909040995;326.354242923382;1912.4038404636;287.596159536404;n;=17
18;71.9815076923077;88.8451538461539;71.9815076923077;80.3349076923077;23.1633230769231;18.1682153846154;23.1633230769231;22.6943846153846;1.76677712671314;19.1968394504861;1.76677712671314;1.88201333099565;4.69230769230769;3.46153846153846;4.69230769230769;4;380.230769230769;94.8461538461538;380.230769230769;87.0769230769231;769.230769230769;884.615384615385;3084.61538461538;12.4421089496155;2.46461372890202;10.8377093617195;84.4236166419232;59.5393987426922;90;86.3805401172519;90;69.4971983305882;0.198587537405861;24.9427638731686;0.291882599542933;1.96536466411901;1.56818958930728;44.1396033236547;1;2.17389593053858;1.59013073145272;2.71982276948993;2.60177454235196;2.48327740429189;7.41213046179763;1.97248492281776;6.06331300389043;0.859763919186498;6.48327740429189;1.51672259570811;4201.55648814543;577.905147039165;533.613708354264;7286.17187276081;0;1347.13591626993;191.325622191604;1418.22909296965;351.00167626112;n;=18
19;67.2744411764706;88.1279823529412;67.2744411764706;78.4153058823529;22.2028235294118;18.9830058823529;22.2028235294118;20.4269647058824;1.77434354153964;39.3227404507938;1.77434354153964;1.88080154297374;7.29411764705882;6.17647058823529;7.29411764705882;6.64705882352941;190.882352941176;160.588235294118;190.882352941176;114.294117647059;1211.76470588235;976.470588235294;1252.94117647059;12.8206717571691;3.67891651699846;10.885916390196;80.0951129336397;54.4537694193015;90;84.4490658359427;89.301222272549;67.5293894921569;0.256355867507129;48.0656024742994;0.308563375377287;2.03069940904677;1.51798767403251;87.3883429250931;1;2.18936491835103;1.57223816759645;5.16919609178198;5.28246266098549;5.67826091852281;12.4633137388408;2.12492155527684;11.4589332492208;0.894007927249806;12.3253197420522;0.9687979050066;1874.53915905311;732.190508799773;688.77555466631;3127.4803355237;0;1943.95521468213;479.57419708258;1665.2461429016;287.695033568985;n;=19
20;70.065975;88.64625;70.065975;79.4628833333333;25.2416833333333;18.5148833333333;25.2416833333333;18.3136;1.83799451284368;17.0410163563627;1.83799451284368;1.85201139353497;5.5;4.66666666666667;5.5;4.41666666666667;313.416666666667;145.833333333333;313.416666666667;81.8333333333333;1066.66666666667;800;2133.33333333333;12.0877321476344;2.01267124601745;16.3201771991735;82.1537071476344;57.9782428523656;90;86.6335787539825;90;63.1427061341598;0.334512220883224;19.9572241836976;0.411858709758841;2.1725067337269;1.50348229196045;36.9982405400603;1;2.26387010329381;1.44015268377613;2.93876906822629;2.90245455162392;2.7122058561364;8.43876906822629;2.56123093177371;7.56912121829059;1.76421211504274;7.12887252280307;1.70446081053026;3554.85157172134;611.010092660779;680.908484039055;5688.18490505468;0;1677.67675932745;455.656574005888;1480.90848403905;119.091515960945;n;=20
