n_min;n_max;avg;cr rm;cr rm-1;cr fa;cr tr;ar rm;ar rm-1;ar fa;ar tr;cn rm;cn rm-1;cn fa;cn tr;it rm;it rm-1;it fa;it tr;sd cr rm;sd cr rm-1;sd cr fa;sd cr tr;cr_up rm;cr_up rm-1;cr_up fa;cr_up tr;cr_down rm;cr_down rm-1;cr_down fa;cr_down tr;sd asp rm;sd asp rm-1;sd asp fa;sd asp tr;asp_up rm;asp_up rm-1;asp_up fa;asp_up tr;asp_down rm;asp_down rm-1;asp_down fa;asp_down tr;sd cn rm;sd cn rm-1;sd cn fa;sd cn tr;cn_up rm;cn_up rm-1;cn_up fa;cn_up tr;cn_down rm;cn_down rm-1;cn_down fa;cn_down tr;sd it rm;sd it rm-1;sd it fa;sd it tr;it_up rm;it_up rm-1;it_up fa;it_up tr;it_down rm;it_down rm-1;it_down fa;it_down tr;a;b
10;12;11;80.6205285714286;69.8087530612245;62.1870755102041;56.2759183673469;20.1005124762109;2.34729968137841;2.30024901853972;2.56485776224375;11.7551020408163;14.734693877551;15.3877551020408;15.9183673469388;842.857142857143;957.142857142857;1553.0612244898;322.673469387755;13.0878419331805;13.5537047462754;14.5970107857101;12.4882307791455;90;83.3624578074999;76.7840862959142;68.7641491464925;67.5326866382481;56.2550483149491;47.590064724494;43.7876875882014;23.3301150593633;0.733755938293649;0.744673580077587;0.637924410110673;43.4306275355742;3.08105561967206;3.04492259861731;3.20278217235442;1;1.61354374308476;1.55557543846213;1.92693335213307;20.0733349374289;23.4163186601104;21.8296590354829;24.4240632153124;31.8284369782452;38.1510125376615;37.2174141375238;40.3424305622512;0;0;0;0;542.371336509099;662.06746886804;2971.11805840946;171.198031987703;1385.22847936624;1619.2103260109;4524.17928289926;493.871501375458;300.485806348044;295.075388274817;0;151.475437400052;n_floor;=9
13;15;14;74.6311;67.33536;55.55716;49.5451428571429;23.4070618414674;2.84194858283908;2.61742814442793;2.93586955795436;29.1714285714286;27.8285714285714;29.2;33;988.571428571429;1060;1871.42857142857;252.857142857143;18.9171510049354;17.2368985967211;17.4261362994379;16.9974959005954;90;84.5722585967211;72.9832962994379;66.5426387577382;55.7139489950646;50.0984614032789;38.1310237005621;32.5476469565475;20.02644721032;0.945818307874056;1.00280383268999;1.09564519601775;43.4335090517875;3.78776689071314;3.62023197711792;4.03151475397211;3.3806146311474;1.89613027496503;1.61462431173794;1.84022436193661;51.766719785118;47.0353344739424;45.7427589898117;54.4728750631639;80.9381483565466;74.8639059025138;74.9427589898117;87.4728750631639;0;0;0;0;808.692273536301;713.813289148294;4865.45877339746;201.904045767981;1797.26370210773;1773.81328914829;6736.88734482603;454.761188625124;179.879155035128;346.186710851706;0;50.9530970891618;n_floor;=12
16;18;17;81.33587;69.02271;61.307195;53.463;17.5069250290592;2.26767376682602;2.27941764283201;2.65949044138444;39.35;32.95;35.7;34.3;1190;920;925;296.25;18.591211891675;25.6198415310005;23.4368118206218;22.4360079712103;90;90;84.7440068206218;75.8990079712103;62.744658108325;43.4028684689995;37.8703831793782;31.0269920287897;20.0244738789412;0.743019257790167;0.882373605672179;1.03635785945738;37.5313989080004;3.01069302461619;3.16179124850419;3.69584830084181;1;1.52465450903585;1.39704403715984;1.62313258192706;110.571374900416;78.090686148592;81.9686075981467;79.2345618368253;149.921374900416;111.040686148592;117.668607598147;113.534561836825;0;0;0;0;850.943748527419;528.752255189915;2254.08985016826;252.537204137696;2040.94374852742;1448.75225518992;3179.08985016826;548.787204137696;339.056251472581;391.247744810085;0;43.7127958623043;n_floor;=15
19;21;20;71.223664;68.61718;55.733632;47.0512;18.281683524279;2.65383535990344;2.9399478052896;8.82195176315556;67;66.28;62.16;80.12;1024;1100;972;216.92;23.6150984252109;22.8524840841392;24.7849355330632;21.3715771762404;90;90;80.5185675330632;68.4227771762404;47.6085655747891;45.7646959158609;30.9486964669368;25.6796228237596;17.9197232257434;1.01801035995657;1.86946923314197;26.6693994062928;36.2014067500224;3.67184571986002;4.80941703843157;35.4913511694483;1;1.63582499994687;1.07047857214762;1;137.909390543211;132.86161974024;118.369365406201;157.323795614861;204.909390543211;199.14161974024;180.529365406201;237.443795614861;0;0;0;0;496.051072639367;721.687836487032;1844.0263917128;212.599764816427;1520.05107263937;1821.68783648703;2816.0263917128;429.519764816427;527.948927360633;378.312163512968;0;4.32023518357315;n_floor;=18
22;24;23;70.3064;64.6721833333334;49.9070666666667;44.3693333333333;23.5650215950716;2.58950992131864;2.56403914599335;3.32770530683366;36.9333333333333;38.2;46.3333333333333;45.2666666666667;880;1103.33333333333;666.666666666667;280.466666666667;19.7236945363552;18.9972137887981;20.3243910716322;15.3556373863226;90;83.6693971221314;70.2314577382989;59.724970719656;50.5827054636448;45.6749695445353;29.5826755950344;29.0136959470107;31.5847204172881;1.01057635796838;1.0639916828545;1.18715089114128;55.1497420123596;3.60008627928702;3.62803082884785;4.51485619797494;1;1.57893356335027;1.50004746313886;2.14055441569237;47.1212181018519;45.7160652363002;54.9490882440334;54.7161536592656;84.0545514351853;83.9160652363002;101.282421577367;99.9828203259323;0;0;0;0;539.731734130564;679.494402977803;1112.41685728319;257.970959784147;1419.73173413056;1782.82773631114;1779.08352394986;538.437626450814;340.268265869436;423.83893035553;0;22.4957068825195;n_floor;=21
25;27;26;71.0138;61.4592705882353;49.9459529411765;45.3870588235294;19.066165279474;2.66138139497755;88.3146320301137;57.0495786253334;145.823529411765;145.529411764706;161.529411764706;167.411764705882;900;1270.58823529412;676.470588235294;68.5294117647059;22.5893667506141;19.7597050456783;18.2222148886365;15.7479644576315;90;81.2189756339136;68.168167829813;61.1350232811609;48.4244332493859;41.6995655425569;31.7237380525399;29.639094365898;10.0334590781915;1.0658223932246;354.03458007167;223.54427766296;29.0996243576656;3.72720378820215;442.349212101784;280.593856288294;9.03270620128249;1.59555900175295;1;1;517.21178390652;505.234613527104;564.172969669659;585.664692766212;663.035313318285;650.76402529181;725.702381434365;753.076457472094;0;0;0;0;615.426681254559;902.610592865462;902.447652058491;147.935001625316;1515.42668125456;2173.19882815958;1578.91824029378;216.464413390022;284.573318745442;367.977642428655;0;0;n_floor;=24
28;30;29;65.7215071428571;60.6247928571429;48.4257642857143;36.1571428571429;17.2552139682362;3.08437566500051;2046.94754422473;72.0203915496888;231.5;222.285714285714;205.428571428571;221.785714285714;1000;1100;628.571428571429;231.5;31.3392480119017;27.8509292297531;24.4647668184774;19.9038405372397;90;88.4757220868959;72.8905311041917;56.0609833943826;34.3822591309555;32.7738636273898;23.9609974672369;16.2533023199031;7.53318630215084;1.07107523417691;7593.77419049549;201.727673891077;24.7884002703871;4.15545089917741;9640.72173472022;273.748065440765;9.72202766608539;2.0133004308236;1;1;432.275330707712;414.851303957942;384.00034340644;398.496632274435;663.775330707712;637.137018243656;589.428914835011;620.282346560149;0;0;0;0;716.830631213646;568.398560058805;600.54919919965;242.604695876932;1716.83063121365;1668.39856005881;1229.12062777108;474.104695876932;283.169368786354;531.601439941195;28.0222293717787;0;n_floor;=27
31;33;32;62.5760944444444;55.3191666666667;44.6394111111111;35.4972222222222;51.133119574414;3.2685639546195;25.0641692967961;332.964709110771;237.277777777778;205.611111111111;220.444444444444;237.722222222222;1055.55555555556;911.111111111111;977.777777777778;77.7222222222222;31.5354158058835;29.7489956454292;24.8589681387266;21.8840545779625;90;85.0681623120959;69.4983792498377;57.3812768001847;31.0406786385609;25.5701710212375;19.7804429723846;13.6131676442597;78.8861346444004;1.33501912434081;68.9631433515354;950.552211133279;130.019254218814;4.6035830789603;94.0273126483316;1283.51692024405;1;1.93354483027869;1;1;400.461763696619;347.696138280487;369.394293121658;400.009971280946;637.739541474397;553.307249391598;589.838737566103;637.732193503168;0;0;0;0;856.272511750252;570.746558453862;2329.74514020325;174.21177293761;1911.82806730581;1481.85766956497;3307.52291798103;251.933995159832;199.283043805304;340.364552657249;0;0;n_floor;=30
34;36;35;61.7537588235294;57.9164470588235;46.3432;37.9417647058824;31.6797484408287;3.05797252623669;22.0436888249449;11.6114909653232;126.294117647059;120.705882352941;129.117647058824;149.647058823529;1052.94117647059;847.058823529412;1441.17647058824;126.411764705882;28.3312501052958;25.0229536534488;23.7370121405106;18.4293642169549;90;82.9394007122724;70.0802121405107;56.3711289228372;33.4225087182336;32.8934934053747;22.6061878594894;19.5124004889275;27.4240376492238;1.12092597777485;77.30082236159;32.2934754323535;59.1037860900525;4.17889850401154;99.3445111865349;43.9049663976767;4.25571079160491;1.93704654846184;1;1;226.048878759076;225.252015725132;252.840829958529;286.466171907014;352.342996406134;345.957898078074;381.958477017352;436.113230730543;0;0;0;0;751.762634628464;639.450591385706;3090.9259986955;177.378147901429;1804.70381109905;1486.50941491512;4532.10246928373;303.789912607311;301.178541842124;207.608232143706;0;0;n_floor;=33
37;39;38;62.3114529411765;53.9591941176471;45.7034823529412;36.6805882352941;25.2894411331336;3.21428820156601;604.506987178985;322.545547531625;192.235294117647;190.176470588235;260.941176470588;232.176470588235;847.058823529412;852.941176470588;564.705882352941;109.176470588235;29.0311424618916;24.9888060273363;20.6887194930666;18.656318792365;90;78.9480001449833;66.3922018460078;55.3369070276592;33.2803104792848;28.9703880903108;25.0147628598746;18.0242694429291;17.7544029379267;1.07091919722342;2414.80380919513;1027.78320103661;43.0438440710603;4.28520739878944;3019.31079637411;1350.32874856824;7.53503819520692;2.14336900434259;1;1;401.935245004056;399.608751670637;601.607998470374;524.278699177989;594.170539121703;589.785222258872;862.549174940962;756.455169766225;0;0;0;0;621.608444942256;690.215226450076;459.539411354712;171.977554965073;1468.66726847167;1543.15640292066;1024.24529370765;281.154025553308;225.450378587156;162.725950020513;105.166470998229;0;n_floor;=36
