n;crossing resolution rm1000;crossing resolution rm;crossing resolution rm100;crossing resolution rm10k;crossing resolution rm1M;Aspect ratio rm1M;Crossing number rm1M;angular resolution rm10k;Aspect ratio rm1000;Aspect ratio rm;Aspect ratio rm100;Aspect ratio rm10k;Crossing number rm1000;Crossing number rm;Crossing number rm100;Crossing number rm10k;Time fa;Time rm;Time tr;Time rm10k;Iterations rm;Iterations rm10k;Iterations rm100;Iterations rm1000;Iterations rm1M;a;b;sd cr rm;sd cr rm10k;sd cr rm100;sd cr rm1000;sd cr rm1M;cr_up rm;cr_up rm10k;cr_up rm100;cr_up rm1000;cr_up rm1M;cr_down rm;cr_down rm10k;cr_down rm100;cr_down rm1000;cr_down rm1M;sd asp rm;sd asp rm10k;sd asp rm100;sd asp rm1000;sd asp rm1M;asp_up rm;asp_up rm10k;asp_up rm100;asp_up rm1000;asp_up rm1M;asp_down rm;asp_down rm10k;asp_down rm100;asp_down rm1000;asp_down rm1M;sd cn rm;sd cn rm10k;sd cn rm100;sd cn rm1000;sd cn rm1M;cn_up rm;cn_up rm10k;cn_up rm100;cn_up rm1000;cn_up rm1M;cn_down rm;cn_down rm10k;cn_down rm100;cn_down rm1000;cn_down rm1M;sd it rm;sd it rm10k;sd it rm100;sd it rm1000;sd it rm1M;it_up rm;it_up rm10k;it_up rm100;it_up rm1000;it_up rm1M;it_down rm;it_down rm10k;it_down rm100;it_down rm1000;it_down rm1M
11;89.1197142857143;89.4815428571429;84.9022571428571;86.6293;89.4587857142857;18.3484078740802;6;13.7911285714286;19.8671219623498;21.0489334581817;19.0839647999486;26.61810532926;8.85714285714286;3.14285714285714;7.42857142857143;7.85714285714286;60.5714285714286;60.4285714285714;112.428571428571;128.428571428571;671.428571428571;1542.85714285714;1000;1714.28571428571;1285.71428571429;n;=11;0.744990782621153;6.21523016602496;7.44477121807808;0.786030706415835;0.811787376572155;90;90;90;89.9057449921301;90;88.7365520745217;80.414069833975;77.4574859247791;88.3336835792985;88.6469983377135;26.5150113397493;38.153512977704;16.4358414636954;19.2981419027647;12.5470170788287;47.563944797931;51.9446415491325;35.5198062636441;39.1652638651144;30.895424952909;1;1;2.6481233362532;1;5.8013907952515;26.5150113397493;38.153512977704;16.4358414636954;19.2981419027647;12.5470170788287;29.6578684826065;46.0106558348468;23.8644128922669;28.1552847599075;18.5470170788287;0;0;0;0;0;415.187851918806;1524.09223567904;489.897948556636;422.013315068658;494.73417585801;1086.61642334738;3066.94937853619;1489.89794855664;2136.29902935437;1780.4484615723;256.240719509765;18.7649071781002;510.102051443364;1292.27239921706;790.980109856275
12;88.417975;88.57765;75.047575;89.3838;89.4939;13.9548733346646;4.25;22.11625;13.4066778654939;9.45706523319733;14.7951603635578;14.9689274048036;6.25;3;12.5;4.5;38;58.5;122.75;89.5;600;950;575;1425;1050;n;=12;2.75864390537573;0.581759933305828;15.1026545621126;2.19063764898868;0.846621627410975;90;89.9655599333059;90;90;90;85.8190060946243;88.8020400666942;59.9449204378874;86.2273373510113;88.647278372589;4.02309385173891;1.44617347454962;9.58466308662798;11.3042692583489;8.65983689548778;13.4801590849362;23.5624234745496;24.3798234501857;24.7109471238429;22.6147102301524;5.43397138145841;20.6700765254504;5.21049727692979;2.10240860714499;5.29503643917686;4.02309385173891;1.44617347454962;9.58466308662798;11.3042692583489;8.65983689548778;7.02309385173891;5.94617347454962;22.084663086628;17.5542692583489;12.9098368954878;0;3.05382652545038;2.91533691337202;0;0;432.049379893857;532.290647422377;403.112887414927;1785.82380616529;1063.01458127347;1032.04937989386;1482.29064742238;978.112887414927;3210.82380616529;2113.01458127346;167.950620106143;417.709352577623;171.887112585073;0;0
13;89.87208;88.0124;84.04132;87.92432;85.24692;14.4268311883972;13;23.75526;38.0174069979884;9.24065072340505;20.719164142804;46.1705194765043;4.8;3;8.2;8.8;67.2;87.6;93.6;138.8;860;1460;1040;1260;2800;n;=13;4.26139418500566;2.83286847417948;7.30458278767514;0.110633186702724;10.0782960502756;90;90;90;89.9827131867027;90;83.7510058149944;85.0914515258205;76.7367372123249;89.7614468132973;75.1686239497244;6.62924369405642;74.8162233249629;22.6674592223187;52.7573628339893;5.63280022438339;15.8698944174615;98.5714833249629;43.3866233651227;90.7747698319777;20.0596314127806;2.61140702934862;1;1;1;8.79403096401384;6.62924369405642;74.8162233249629;22.6674592223187;52.7573628339893;5.63280022438339;9.62924369405642;83.6162233249629;30.8674592223187;57.5573628339893;18.6328002243834;0;0;0;0;7.36719977561661;415.932686861708;740.27022093287;482.700735445887;826.438140455775;1232.8828005938;1275.93268686171;2200.27022093287;1522.70073544589;2086.43814045578;4032.8828005938;444.067313138292;719.72977906713;557.299264554113;433.561859544225;1567.1171994062
14;86.9016;89.7813333333333;81.1942;88.1891333333333;89.8919;24.788007812971;5.33333333333333;17.1593666666667;23.0575561288075;10.8112058617229;21.9816233007208;22.54689403083;9.33333333333333;3.66666666666667;7.33333333333333;7.66666666666667;45.3333333333333;104;153.333333333333;210.666666666667;966.666666666667;2266.66666666667;633.333333333333;1700;2466.66666666667;n;=14;0.173302519697013;3.07253720129363;11.5504129930492;4.43018341268169;0.10341958228498;89.9546358530304;90;90;90;89.995319582285;89.6080308136363;85.1165961320397;69.6437870069508;82.4714165873183;89.788480417715;5.01234572324876;16.1691213534595;10.9093480954675;18.5502308472145;18.2066578177472;15.8235515849717;33.3284880201262;32.8909713961883;41.607786976022;42.9946656307182;5.79886013847418;1;11.0722752052534;4.50732528159303;6.58134999522379;5.01234572324876;16.1691213534595;10.9093480954675;18.5502308472145;18.2066578177472;8.67901238991542;23.8357880201262;18.2426814288008;27.8835641805478;23.5399911510805;0;0;0;0;0;321.455025366432;1026.32028788938;750.555349946513;435.889894354067;1096.96551146029;1288.1216920331;3292.98695455604;1383.88868327985;2135.88989435407;3563.63217812695;645.211641300235;1240.34637877729;0;1264.11010564593;1369.70115520638
15;88.23024;89.04416;78.35537;87.041;88.15771;21.8412353530823;6.7;15.52918;33.723844291118;8.63949029579895;19.2734812476241;18.1698106851284;9;3;10.7;8.3;66;87.4;164.8;200.2;860;1600;950;1630;1210;n;=15;2.46256862113074;6.35673007536981;10.4493871266373;2.30566034175799;3.42793002276884;90;90;88.8047571266373;90;90;86.5815913788693;80.6842699246302;67.9059828733627;85.924579658242;84.7297799772312;5.34166791857242;20.4827790856176;11.4402720639702;32.3593270328461;16.6988333940372;13.9811582143714;36.0119590856176;30.7137533115943;66.0831713239642;38.5400687471195;3.29782237722653;1;7.83320918365389;1.36451725827188;5.14240195904509;5.34166791857242;20.4827790856176;11.4402720639702;32.3593270328461;16.6988333940372;8.34166791857242;28.7827790856176;22.1402720639702;41.3593270328461;23.3988333940372;0;0;0;0;0;459.951688284276;941.629792788369;865.704594214704;947.569991551489;706.242010770938;1319.95168828428;2541.62979278837;1815.7045942147;2577.56999155149;1916.24201077094;400.048311715724;658.370207211631;84.2954057852965;682.430008448511;503.757989229062
16;86.8174090909091;89.0263636363637;71.7449363636364;88.5704;89.0813181818182;40.7256965898018;6.45454545454545;17.8497545454545;20.9431577259165;13.974603287963;15.6313846272577;17.6082127085236;10.9090909090909;3.45454545454545;17.3636363636364;10.9090909090909;66.2727272727273;97.7272727272727;149.909090909091;238.545454545455;781.818181818182;1981.81818181818;790.909090909091;1463.63636363636;2354.54545454545;n;=16;2.64467885395287;2.43073304087471;15.7053410724042;5.23490032998806;2.06155521382193;90;90;87.4502774360405;90;90;86.3816847824108;86.1396669591253;56.0395952912322;81.582508760921;87.0197629679963;16.7136168457079;10.9094402555242;9.6921808791392;11.3035387984819;37.1446785936497;30.6882201336709;28.7591948009787;25.3235655063969;32.2466965243983;77.8703751834515;1;6.94031428993039;5.93920374811854;9.63961892743463;3.58101799615216;16.7136168457079;10.9094402555242;9.6921808791392;11.3035387984819;37.1446785936497;20.1681623002533;21.8185311646151;27.0558172427756;22.2126297075728;43.5992240481951;0;0;7.67145548449716;0;0;612.891804184363;1028.41449019175;743.578570770494;294.18608829354;1112.0824037486;1394.70998600255;3010.23267200993;1534.48766167959;1757.8224519299;3466.62785829406;168.926377633819;953.403691626429;47.3305201385966;1169.45027534282;1242.46305079685
17;84.8812222222222;89.4952444444444;76.9731888888889;86.4561333333333;89.1147333333333;19.1717625895068;10.8888888888889;17.9337333333333;27.7488297169575;29.8547708289627;39.5485098857605;88.7681417570427;12.8888888888889;3.66666666666667;15.5555555555556;12.8888888888889;96.5555555555556;124.777777777778;174.888888888889;297.222222222222;966.666666666667;2311.11111111111;1022.22222222222;1466.66666666667;2511.11111111111;n;=17;1.10993881375406;6.00343753632034;13.8245395696787;9.52972232265686;1.01985446265631;90;90;90;90;90;88.3853056306904;80.452695797013;63.1486493192102;75.3514998995654;88.094878870677;41.963754122599;140.856703968209;21.4989590220452;28.4874707320011;12.6227579748982;71.8185249515617;158.790437301543;61.0474689078057;56.2363004489587;31.794520564405;1;1;18.0495508637153;1;6.54900461460864;41.963754122599;140.856703968209;21.4989590220452;28.4874707320011;12.6227579748982;45.6304207892657;153.745592857098;37.0545145776007;41.37635962089;23.5116468637871;0;0;0;0;0;640.312423743285;691.817252683909;591.13826169894;1196.87092035858;1406.63112119387;1606.97909040995;3002.92836379502;1613.36048392116;2663.53758702525;3917.74223230498;326.354242923382;1619.2938584272;431.083960523282;269.795746308085;1104.47998991725
18;87.0623923076923;88.8451538461539;73.2624769230769;87.1501153846154;86.8881;44.2920926418926;10.3846153846154;17.0279615384615;40.8284905903544;19.1968394504861;29.8680139925382;39.2837409291593;12.6153846153846;3.46153846153846;17.6153846153846;10.4615384615385;102.692307692308;94.8461538461538;231.923076923077;323.307692307692;769.230769230769;2353.84615384615;1015.38461538462;1784.61538461538;2407.69230769231;n;=18;2.46461372890202;5.17395038258102;14.441930559956;3.72876689211987;5.49344443556742;90;90;87.7044074830329;90;90;86.3805401172519;81.9761650020344;58.820546363121;83.3336254155724;81.3946555644326;24.9427638731686;45.3758655710072;24.3174857804137;43.8532719842347;40.9142238500559;44.1396033236547;62.4038271094687;54.1854997729519;84.6817625745891;85.2063164919485;1;1;5.55052821212448;1;3.3778687918367;24.9427638731686;45.3758655710072;24.3174857804137;43.8532719842347;40.9142238500559;28.4043023347071;55.8374040325456;41.9328703957983;56.4686565996193;51.2988392346713;0;0;0;0;0;577.905147039165;924.315408482935;782.992288006033;1008.99797971895;1559.62684557425;1347.13591626993;3278.16156232909;1798.37690339065;2793.61336433433;3967.31915326656;191.325622191604;1429.53074536322;232.392327378582;775.617404896434;848.065462118054
19;83.8994470588235;88.1279823529412;58.5538705882353;85.3100176470588;87.598594117647;43.4366831305967;13.4705882352941;18.4363941176471;29.6100010437905;39.3227404507938;26.2471030603252;57.2210075202696;13.1764705882353;6.17647058823529;37.4705882352941;13;69.5882352941177;160.588235294118;200.411764705882;327.529411764706;1211.76470588235;2188.23529411765;664.705882352941;1529.41176470588;3241.17647058824;n;=19;3.67891651699846;7.50166112273103;13.7544033027502;8.67496825355269;3.25884812366091;90;90;72.3082738909855;90;90;84.4490658359427;77.8083565243278;44.7994672854851;75.2244788052708;84.3397459939861;48.0656024742994;99.208850105708;25.0239758904206;19.9046372672652;96.7807493128287;87.3883429250931;117.645244223355;51.2710789507458;49.5146383110557;140.217432443425;1;1;1.22312716990465;9.70536377652531;1;48.0656024742994;99.208850105708;25.0239758904206;19.9046372672652;96.7807493128287;54.2420730625347;112.208850105708;62.4945641257147;33.0811078555005;110.251337548123;0;0;12.4466123448735;0;0;732.190508799773;1394.57984395891;596.805219974017;862.238877778624;1840.19660074998;1943.95521468213;3582.81513807656;1261.51110232696;2391.65064248451;5081.37307133821;479.57419708258;793.655450158732;67.9006623789238;667.172886927258;1400.97986983826
20;80.3450916666666;88.64625;67.5167416666667;89.1777416666667;86.39815;30.3963735535437;12.25;20.6315166666667;30.7497774533129;17.0410163563627;32.3178194995317;20.3099482157403;14.1666666666667;4.66666666666667;27.6666666666667;9.08333333333333;63.3333333333333;145.833333333333;254.75;327.916666666667;1066.66666666667;2308.33333333333;600;2000;2650;n;=20;2.01267124601745;0.662713454406591;16.136642746667;9.83206350296253;8.61325920612042;90;89.8404551210733;83.6533844133337;90;90;86.6335787539825;88.5150282122601;51.3800989199997;70.5130281637041;77.7848907938796;19.9572241836976;12.779181550749;28.0217209440462;36.0342067106653;51.0195006186251;36.9982405400603;33.4106982174157;60.3395404435779;66.7839841639782;81.4158741721689;1;7.85233511591769;4.29609855548545;1;1;19.9572241836976;12.779181550749;28.0217209440462;36.0342067106653;51.0195006186251;24.6238908503643;21.8625148840823;55.6883876107129;50.200873377332;63.2695006186251;0;0;0;0;0;611.010092660779;1393.79034117457;595.437196138648;1241.69971483374;1347.38804561067;1677.67675932745;3702.1236745079;1195.43719613865;3241.69971483374;3997.38804561067;455.656574005888;914.542992158767;4.56280386135222;758.300285166264;1302.61195438933
