n;crossing resolution fa;crossing resolution rm;crossing resolution tr;crossing resolution rm5;crossing resolution rm-1;Angular resolution fa;Angular resolution rm;Angular resolution tr;Angular resolution rm5;Angular resolution rm-1;Aspect ratio fa;Aspect ratio rm;Aspect ratio tr;Aspect ratio rm5;Aspect ratio rm-1;Crossing number fa;Crossing number rm;Crossing number tr;Crossing number rm5;Crossing number rm-1;Total Resolution fa;Total Resolution rm;Total Resolution tr;Total Resolution rm5;Total Resolution rm-1;Time fa;Time rm;Time tr;Time rm5;Time rm-1;Iterations rm;Iterations rm-1;Iterations fa;sd angular resolution fa;sd angular resolution rm;sd angular resolution rm-1;tr_up fa;tr_down fa;tr_up rm;tr_down rm;tr_up rm-1;tr_down rm-1;sd aspect ratio fa;sd aspect ratio rm;sd aspect ratio rm-1;asp_up fa;asp_down fa;asp_up rm;asp_down rm;asp_up rm-1;asp_down rm-1;sd crossing number fa;sd crossing number rm;sd crossing number rm-1;cn_up fa;cn_down fa;cn_up rm;cn_down rm;cn_up rm-1;cn_down rm-1;sd iterations fa;sd iterations rm;sd iterations rm-1;it_up fa;it_down fa;it_up rm;it_down rm;it_up rm-1;it_down rm-1;a;b
11;68.7208285714286;69.5698428571429;61.2435428571429;68.5167285714286;61.9400428571429;23.2713714285714;39.7224714285714;19.4662;180;27.8554571428571;1.94215172500228;5.19122113304736;1.94281594595673;4.36178042170558;1.90174611778091;4.85714285714286;5.28571428571429;4.71428571428571;4.71428571428571;5;21.0171142857143;39.7224714285714;18.8973428571429;37.5805428571429;27.8554571428571;14.8571428571429;301.285714285714;15.5714285714286;198.857142857143;144.857142857143;900;842.857142857143;100;7.38186554614947;8.09217341586183;8.49967844212496;30.6532369747209;15.889505882422;47.8146448444333;31.6302980127096;36.3551355849821;19.3557787007322;0.229737368879083;1.34281811873077;0.393337343752815;2.17188909388136;1.7124143561232;6.53403925177813;3.84840301431659;2.29508346153373;1.5084087740281;3.07834216359885;2.9277002188456;3;7.93548502074171;1.778800693544;8.21341450455989;2.35801406686869;8;2;81.6496580927726;541.602560309064;647.706576718046;181.649658092773;18.3503419072274;1441.60256030906;358.397439690936;1490.56371957519;195.150566139097;n;=11
12;72.402625;71.3856;68.32625;74.668725;70.6447;27.94425;38.68875;28.604075;180;33.40715;1.90330514939792;6.30273025127621;1.89723853444243;3.65859415067725;1.85301213276415;5;4.25;5;3.5;5;27.1958;38.68875;26.466825;40.46395;33.40715;160.5;267.25;15.5;423.25;116;800;750;900;8.01054493319067;4.62380392065523;10.8635160316538;35.9547949331907;19.9337050668093;43.3125539206552;34.0649460793448;44.2706660316538;22.5436339683462;0.227765104800387;7.30523811049032;0.42380761562043;2.13107025419831;1.67554004459753;13.6079683617665;1;2.27681974838458;1.42920451714372;4;2.5;4;9;1;6.75;1.75;9;1;983.192080250175;408.248290463863;369.684550213647;1883.19208025018;0;1208.24829046386;391.751709536137;1119.68455021365;380.315449786353;n;=12
13;80.099;69.41792;70.1107;67.98196;73.85438;29.41354;46.80516;25.75354;180;37.2789;1.84260635940658;8.59849528062496;1.70574324137062;4.3271426990017;1.72912390606878;3.2;4;4;4.2;3.4;28.61038;46.80516;24.3895;42.8793;37.2789;264;349.8;34.2;221.4;154.8;1180;1140;1620;11.4654000356289;11.9114277359181;8.88832639758464;40.8789400356289;17.9481399643711;58.7165877359181;34.8937322640819;46.1672263975846;28.3905736024154;0.16796129293112;5.26082434299017;0.118003645195701;2.0105676523377;1.67464506647546;13.8593196236151;3.33767093763478;1.84712755126448;1.61112026087308;1.6431676725155;3.08220700148449;1.94935886896179;4.8431676725155;1.5568323274845;7.08220700148449;0.917792998515512;5.34935886896179;1.45064113103821;2334.9518196314;875.785361832453;610.737259384099;3954.9518196314;0;2055.78536183245;304.214638167547;1750.7372593841;529.262740615901;n;=13
14;67.6747333333333;64.1368666666667;74.1861666666667;64.3383666666667;67.398;31.2251666666667;44.5064333333333;24.4394666666667;180;34.5961333333333;2.00868742755439;23.05793371184;1.89872759327564;4.86630755434299;1.84382643339091;5.33333333333333;6.66666666666667;4.66666666666667;5;6.33333333333333;30.8526;44.3340333333333;24.4350333333333;40.4614;34.5961333333333;59.6666666666667;591.666666666667;25.6666666666667;344.666666666667;134;1566.66666666667;666.666666666667;366.666666666667;15.3048597050087;14.0642638038162;7.93734095294724;46.5300263716754;15.9203069616579;58.5706971371495;30.4421695295172;42.5334742862806;26.6587923803861;0.255541441790932;15.9342307714796;0.269723758064619;2.26422886934532;1.75314598576346;38.9921644833196;7.12370294036041;2.11355019145553;1.57410267532629;3.21455025366432;3.21455025366432;3.21455025366432;8.54788358699765;2.11878307966901;9.88121692033099;3.45211641300235;9.54788358699765;3.11878307966901;472.581562625261;321.455025366432;351.188458428425;839.248229291928;0;1888.1216920331;1245.21164130024;1017.85512509509;315.478208238242;n;=14
15;63.17912;66.91652;61.11996;62.98883;63.60701;21.7479;37.42507;16.74055;180;30.4407;2.0604136614855;9.61799802155139;2.05392884259245;4.18259210325476;1.8537261151291;5.2;6.5;5.8;6.3;5;21.21811;37.39817;16.73137;33.48971;30.4407;203;477.7;80.8;173.7;116;1310;800;1290;9.52407328830475;5.82797391572177;6.44388706708407;31.2719732883047;12.2238267116953;43.2530439157218;31.5970960842782;36.8845870670841;23.9968129329159;0.271175357244527;4.91464863984239;0.157886452354325;2.33158901873003;1.78923830424098;14.5326466613938;4.703349381709;2.01161256748343;1.69583966277478;3.45768066130398;6.02310366653088;2.49443825784929;8.65768066130399;1.74231933869602;12.5231036665309;0.476896333469116;7.49443825784929;2.50556174215071;2825.45964795504;1145.47418613913;496.655480858378;4115.45964795504;0;2455.47418613913;164.525813860866;1296.65548085838;303.344519141622;n;=15
16;67.7807363636364;66.1180545454545;56.8849545454546;61.4851454545455;66.3346090909091;24.5138;43.4073909090909;18.2073181818182;180;32.0022;2.07434940846824;15.6304291216874;2.11804726375955;4.23931515255358;1.98161426824343;4.63636363636364;7;6.09090909090909;6.63636363636364;5;24.2153272727273;43.4073909090909;17.2352272727273;43.1132454545454;32.0022;259.181818181818;491.909090909091;37.2727272727273;351.454545454545;118.636363636364;1527.27272727273;745.454545454546;1545.45454545455;13.0321644666641;15.6602166870356;12.4857630356338;37.5459644666641;11.4816355333359;59.0676075961265;27.7471742220553;44.4879630356338;19.5164369643662;0.370046068100908;16.181689500774;0.35998158072048;2.44439547656915;1.70430334036734;31.8121186224615;1;2.34159584896391;1.62163268752295;3.44304305150915;7.0427267446636;4.26614580154031;8.07940668787279;1.19332058485448;14.0427267446636;0;9.26614580154031;0.733854198459691;3886.99463245414;814.973507656426;353.167485376659;5432.44917790868;0;2342.24623492915;712.299219616302;1098.6220308312;392.287060077886;n;=16
17;66.2321222222222;63.4004444444444;67.1102;62.0955;66.6695666666667;21.8453777777778;41.0871;20.3497222222222;180;32.6379888888889;1.93427211891271;20.0493489451968;1.94720982734262;4.34181146398533;1.82226290876284;5.88888888888889;8.33333333333333;6.66666666666667;7.88888888888889;6.22222222222222;20.4795888888889;41.0803777777778;19.5947333333333;39.4254555555556;32.6379888888889;181.444444444444;476.444444444445;43.4444444444444;323.666666666667;149;1388.88888888889;1022.22222222222;933.333333333333;12.3567289879284;10.8480959885569;8.5512483574687;34.2021067657062;9.48864878984933;51.9351959885569;30.2390040114431;41.1892372463576;24.0867405314202;0.293250597427772;14.6418500132172;0.1068439063735;2.22752271634048;1.64102152148494;34.691198958414;5.40749893197962;1.92910681513634;1.71541900238934;3.44399638662864;7.51664818918645;3.92994204085053;9.33288527551753;2.44489250226025;15.8499815225198;0.81668514414688;10.1521642630728;2.29228018137169;1898.68375460475;627.384340823957;628.048122713892;2832.01708793809;0;2016.27322971285;761.504548064932;1650.27034493611;394.17409950833;n;=17
18;65.6683153846154;65.3727384615385;61.4379461538462;67.3750769230769;69.9109692307692;25.7419;41.4145846153846;20.4308461538462;180;33.9156230769231;1.99940275654636;15.9152143381889;1.96296349355697;4.43914317978871;1.85738881100833;4.69230769230769;6;4.69230769230769;6.53846153846154;4.38461538461539;24.5221615384615;41.4145846153846;20.3482846153846;36.7877923076923;33.9156230769231;81.3076923076923;458.153846153846;115.692307692308;228.615384615385;164.538461538462;1238.46153846154;1007.69230769231;353.846153846154;8.72680182966422;10.0974185478143;6.07470763866512;34.4687018296642;17.0150981703358;51.5120031631989;31.3171660675703;39.9903307155882;27.840915438258;0.346118875712142;23.6777894684906;0.217780666178414;2.3455216322585;1.65328388083422;39.5930038066795;1;2.07516947718674;1.63960814482991;2.75029135985673;4.70814896394185;2.32875007741855;7.44259905216442;1.94201633245097;10.7081489639418;1.29185103605816;6.71336546203394;2.05586530719683;312.557686983231;373.136394942612;677.571076790151;666.403840829385;41.2884668629225;1611.59793340415;865.325143518926;1685.26338448246;330.121230902157;n;=18
19;65.9524235294118;61.2940705882353;55.9656882352941;57.7389647058824;60.9000117647059;24.5915470588235;42.3397117647059;19.7861882352941;180;28.7675647058824;2.07441771597559;19.0584310754086;2.06923366289727;4.22786543625171;1.948971962996;7.17647058823529;9.17647058823529;7.70588235294118;8.94117647058824;7.23529411764706;23.9618529411765;42.2928764705882;19.0250176470588;35.4881;28.7395823529412;171;544.352941176471;33.3529411764706;210.705882352941;157.352941176471;1541.17647058824;841.176470588235;617.647058823529;8.66081403853859;12.5407376153942;9.3671342668953;33.2523610973621;15.9307330202849;54.8804493801;29.7989741493117;38.1346989727777;19.4004304389871;0.31721201973138;32.2129236871862;0.269248330411988;2.39162973570697;1.75720569624421;51.2713547625948;1;2.21822029340799;1.67972363258401;5.24684779317124;9.32225357758015;4.76352563450521;12.4233183814065;1.92962279506406;18.4987241658154;0;11.9988197521523;2.47176848314185;1116.48740147261;837.45061311803;596.928412300642;1734.13446029614;0;2378.62708370627;703.725857470205;1438.10488288888;244.248058287594;n;=19
20;63.0816833333333;63.1658083333333;66.8255833333333;61.30925;65.6019;27.1810916666667;46.536;23.2892583333333;180;34.6748416666667;2.13768680584932;26.8199435059048;2.0580423005411;4.55417270953396;1.82099581037984;5.33333333333333;6.41666666666667;4.83333333333333;6.5;5.83333333333333;26.6972666666667;46.5014416666667;21.688775;43.2367833333333;34.6748416666667;45.75;421.75;80.5;120.75;238;1266.66666666667;1458.33333333333;183.333333333333;7.66739672596464;9.56322170262515;6.24735538323775;34.8484883926313;19.513694940702;56.0992217026252;36.9727782973749;40.9221970499044;28.4274862834289;0.690817372212005;44.9525734115387;0.258546045908397;2.82850417806133;1.44686943363732;71.7725169174435;1;2.07954185628823;1.56244976447144;2.49848438906955;3.42340429539033;3.01008406204977;7.83181772240288;2.83484894426378;9.840070962057;2.99326237127634;8.84341739538311;2.82324927128356;169.66991126266;960.429196986557;1027.31630371507;353.003244595993;13.6634220706737;2227.09586365322;306.23746968011;2485.6496370484;431.017029618266;n;=20
