n_min;n_max;avg;tr rm;tr rm-1;tr fa;tr tr;ar rm;ar rm-1;ar fa;ar tr;cn rm;cn rm-1;cn fa;cn tr;it rm;it rm-1;it fa;it tr;sd tr rm;sd tr rm-1;sd tr fa;sd tr tr;cr_up rm;cr_up rm-1;cr_up fa;cr_up tr;cr_down rm;cr_down rm-1;cr_down fa;cr_down tr;sd asp rm;sd asp rm-1;sd asp fa;sd asp tr;asp_up rm;asp_up rm-1;asp_up fa;asp_up tr;asp_down rm;asp_down rm-1;asp_down fa;asp_down tr;sd cn rm;sd cn rm-1;sd cn fa;sd cn tr;cn_up rm;cn_up rm-1;cn_up fa;cn_up tr;cn_down rm;cn_down rm-1;cn_down fa;cn_down tr;sd it rm;sd it rm-1;sd it fa;sd it tr;it_up rm;it_up rm-1;it_up fa;it_up tr;it_down rm;it_down rm-1;it_down fa;it_down tr;a;b
10;12;11;29.2561244897959;24.2464285714286;14.7677469387755;19.5212244897959;9.17150450921199;2.35967546316932;2.36590946034503;3.55139942379923;20.1224489795918;16.1224489795918;15.0408163265306;16.6734693877551;1459.18367346939;926.530612244898;512.244897959184;487.34693877551;13.1495966369304;11.6198107589116;9.71646189213401;9.24425872110474;42.4057211267263;35.8662393303401;24.4842088309095;28.7654832109007;16.1065278528655;12.626617812517;5.05128504664149;10.2769657686912;22.6178520170512;0.598461763358468;0.618451484181334;0.986185131877664;31.7893565262632;2.95813722652779;2.98436094452637;4.53758455567689;1;1.76121369981085;1.7474579761637;2.56521429192156;36.6103540984089;22.1290087263502;20.2020617591306;27.5048387827048;56.7328030780007;38.2514577059421;35.2428780856612;44.17830817046;0;0;0;0;905.289633061095;544.202593328104;587.591359230356;320.804233595065;2364.47330653048;1470.733205573;1099.83625718954;808.151172370575;553.894040408293;382.328018916794;0;166.542705180445;n_floor;=9
13;15;14;24.7293771428571;18.6441857142857;13.2832142857143;16.4548571428571;9.72890552238837;2.66933766917687;2.61332139355064;4.70083011872112;35.5428571428571;32.6;28.8857142857143;37.2285714285714;1334.28571428571;1002.85714285714;477.142857142857;558.428571428571;11.1282555332622;9.45319309129251;8.08241541311037;9.43560976284197;35.8576326761193;28.0973788055782;21.3656296988246;25.8904669056991;13.601121609595;9.1909926229932;5.20079887260392;7.01924738001518;13.3783506892146;0.590544190236873;0.89805025793536;1.45243250252047;23.107256211603;3.25988185941374;3.511371651486;6.15326262124159;1;2.07879347893999;1.71527113561528;3.24839761620065;57.0904044977287;50.7758627232873;45.8249684243474;69.8481907274566;92.6332616405859;83.3758627232873;74.7106827100617;107.076762156028;0;0;0;0;700.815851092751;581.825582458662;740.860276691788;567.490932071336;2035.10156537847;1584.68272531581;1218.00313383464;1125.91950349991;633.469863192963;421.031560398481;0;0;n_floor;=12
16;18;17;31.791645;26.119975;18.09868;19.265;10.2256760590756;2.17438397507965;2.35844361825027;48.3141822859113;41.85;38.1;31.65;33.6;1190;1235;290;770.65;14.8590425614019;11.4692130649553;12.0778050884387;11.5381821518132;46.6506875614019;37.5891880649553;30.1764850884387;30.8031821518132;16.9326024385981;14.6507619350447;6.0208749115613;7.72681784818678;9.16001608016261;0.618649099382018;1.15226336924054;198.36677871215;19.3856921392382;2.79303307446167;3.51070698749081;246.680960998061;1.065659978913;1.55573487569763;1.20618024900973;1;97.1283876331247;91.0644075135257;70.1391661739641;75.57596387602;138.978387633125;129.164407513526;101.789166173964;109.17596387602;0;0;0;0;860.782997288546;649.919023296061;344.734833260519;570.258692450882;2050.78299728855;1884.91902329606;634.734833260519;1340.90869245088;329.217002711454;585.080976703939;0;200.391307549118;n_floor;=15
19;21;20;28.03724;21.515248;14.989224;19.5728;14.9863539557918;2.60851834058408;2.94036823469527;70.420735136932;83.88;63.76;68.84;83.68;1280;772;496;864.28;20.267972948945;14.3085805843067;12.9687970725661;15.0746435889322;48.305212948945;35.8238285843067;27.9580210725661;34.6474435889322;7.76926705105499;7.20666741569325;2.02042692743387;4.49815641106785;15.0379003203303;0.978044593758669;1.35944485213622;310.918173649475;30.0242542761221;3.58656293434275;4.29981308683149;381.338908786407;1;1.63047374682541;1.58092338255906;1;163.253208238001;114.04760701859;143.105054651003;162.205558885426;247.133208238001;177.80760701859;211.945054651003;245.885558885426;0;0;0;0;784.750491132904;651.613382305797;793.452372021577;790.058200387794;2064.7504911329;1423.6133823058;1289.45237202158;1654.33820038779;495.249508867096;120.386617694204;0;74.2217996122057;n_floor;=18
22;24;23;25.6633966666667;19.84194;11.3404566666667;14.378;15.7242700794763;2.8230561267947;2.98681970830365;5.64061184884225;58.3666666666667;49.7666666666667;46.4666666666667;54.3;1393.33333333333;1023.33333333333;403.333333333333;662.933333333333;17.0824499531655;12.1997974641074;10.6692157013461;10.671810562864;42.7458466198321;32.0417374641074;22.0096723680128;25.049810562864;8.58094671350121;7.6421425358926;0.67124096532055;3.70618943713602;12.0512835688006;1.61460168388847;1.14183847072171;2.55239866225352;27.7755536482768;4.43765781068317;4.12865817902536;8.19301051109578;3.67298651067571;1.20845444290623;1.84498123758194;3.08821318658873;63.3095750961146;60.0595585624191;56.5195927782224;67.0769758535309;121.676241762781;109.826225229086;102.986259444889;121.376975853531;0;0;0;0;816.186816568505;602.685560684401;660.972811446329;533.914815195324;2209.52014990184;1626.01889401773;1064.30614477966;1196.84814852866;577.146516764829;420.647772648932;0;129.018518138009;n_floor;=21
25;27;26;27.6718470588235;22.9389058823529;12.6395294117647;16.14;20.2084092140605;2.70559444241825;2.90204048728949;47.8594470442742;157.529411764706;152.235294117647;152.764705882353;159.058823529412;1535.29411764706;1052.94117647059;329.411764705882;708.235294117647;15.912099798075;14.206001500531;11.3197325274145;13.5994379479448;43.5839468568985;37.1449073828839;23.9592619391792;29.7394379479448;11.7597472607486;8.73290438182197;1.31979688435021;2.54056205205524;27.0744805041234;1.21453615472491;1.05577773950077;123.067270736817;47.282889718184;3.92013059714316;3.95781822679026;170.926717781091;1;1.49105828769334;1.84626274778872;1;503.210706072399;527.823186471067;532.361311682649;533.992915518108;660.740117837105;680.058480588714;685.126017565002;693.05173904752;0;0;0;0;958.476118945191;716.866137311234;490.872572418689;379.347553275978;2493.77023659225;1769.80731378182;820.284337124572;1087.58284739362;576.817998701868;336.075039159354;0;328.88774084167;n_floor;=24
28;30;29;23.2900785714286;19.8305642857143;10.7034642857143;13.6007142857143;17.7982063116451;3.22871252020712;3.13654887046543;330.669951192238;236.428571428571;204.428571428571;211.357142857143;237.142857142857;1292.85714285714;900;807.142857142857;1160.42857142857;15.4795540984367;13.4193370425269;9.71683387589308;10.9929183248446;38.7696326698653;33.2499013282412;20.4202981616074;24.5936326105588;7.81052447299187;6.4112272431874;0.98663040982121;2.60779596086973;9.03128944073304;1.11376227677274;1.48463381077898;663.478509068022;26.8294957523781;4.34247479697987;4.62118268124441;994.14846026026;8.76691687091202;2.11495024343438;1.65191505968645;1;444.459864811854;376.29708277569;398.548830546108;452.136102235881;680.888436240425;580.725654204261;609.905973403251;689.278959378738;0;0;0;0;909.322897472692;735.89296880624;2280.84474422367;1271.27057667551;2202.18004032983;1635.89296880624;3087.98760136653;2431.69914810408;383.534245384451;164.10703119376;0;0;n_floor;=27
31;33;32;20.7036611111111;18.4928722222222;9.81371111111111;13.3966666666667;10.7543983431056;3.179253164358;2.93226727318793;137.779841572635;218.722222222222;213.666666666667;219.333333333333;239.277777777778;994.444444444444;783.333333333333;511.111111111111;1303.83333333333;17.3321339581287;13.249774533123;9.69277989250634;11.1749999342019;38.0357950692398;31.7426467553452;19.5064910036174;24.5716666008685;3.37152715298246;5.24309768909922;0.12093121860477;2.2216667324648;4.76356569602464;1.32889546895758;1.15158818448374;371.086276194365;15.5179640391303;4.50814863331557;4.08385545767167;508.866117767;5.99083264708098;1.85035769540042;1.78067908870419;1;344.232104589426;349.337187525513;366.48922622797;407.379979518408;562.954326811648;563.003854192179;585.822559561304;646.657757296186;0;0;0;0;972.245564612406;758.675316122857;1406.66016167997;1165.53149956172;1966.69000905685;1542.00864945619;1917.77127279108;2469.36483289505;22.1988798320381;24.658017210476;0;138.301833771615;n_floor;=30
34;36;35;25.8654352941176;21.9218411764706;13.3482411764706;18.1258823529412;17.2141099672268;3.19550254272945;3.36271901972029;107.595988977033;137.823529411765;118.705882352941;121.470588235294;147.235294117647;1100;841.176470588235;311.764705882353;995.588235294118;20.5209481157347;16.8925336876998;12.3180745129393;15.3575828415573;46.3863834098524;38.8143748641704;25.6663156894098;33.4834651944985;5.34448717838292;5.02930748877077;1.03016666353134;2.76829951138391;14.2596226292031;1.20025785140305;2.08817797228577;402.484180875711;31.4737325964298;4.3957603941325;5.45089699200606;510.080169852743;2.95448733802369;1.99524469132641;1.27454104743453;1;230.754803659132;223.00806171131;237.927803557891;281.14754342955;368.578333070897;341.713944064251;359.398391793185;428.382837547197;0;0;0;0;965.012953280939;739.98211425126;549.86629390832;703.075125682129;2065.01295328094;1581.1585848395;861.630999790673;1698.66336097625;134.987046719061;101.194356336975;0;292.513109611989;n_floor;=33
37;39;38;17.1296294117647;15.8270470588235;9.75900588235294;11.8388235294118;25.533256915691;3.49750642702181;3.42676307280609;118.857173743937;208.352941176471;181.882352941176;187.647058823529;232.058823529412;788.235294117647;817.647058823529;264.705882352941;852;10.8432888215341;9.95091190281811;7.09933677698757;8.1516078800082;27.9729182332988;25.7779589616416;16.8583426593405;19.99043140942;6.28634059023063;5.87613515600542;2.65966910536537;3.68721564940357;24.4948110037368;1.16638184654583;2.26620749635622;397.216520452588;50.0280679194279;4.66388827356764;5.69297056916232;516.073694196525;1.03844591195421;2.33112458047598;1.16055557644987;1;391.652898172679;384.688816180192;391.818507279912;515.092767201724;600.005839349149;566.571169121369;579.465566103442;747.151590731136;0;0;0;0;597.790047739564;672.899782766393;239.63820769701;712.239426035936;1386.02534185721;1490.54684158992;504.344090049951;1564.23942603594;190.445246378083;144.747276057136;25.0676746559312;139.760573964064;n_floor;=36
